acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.223,-0.048,-1.086,-16.962,9.908,2.015,0
0.221,-0.052,-1.075,-16.656,9.695,1.954,4051
0.229,-0.058,-1.072,-16.504,9.298,2.397,8064
0.223,-0.054,-1.063,-16.244,8.977,2.534,12075
0.229,-0.055,-1.062,-16.229,8.718,2.931,16086
0.225,-0.048,-1.074,-16.061,8.489,3.191,20097
0.236,-0.048,-1.058,-15.878,8.076,3.176,24108
0.241,-0.046,-1.056,-15.725,7.786,3.389,28119
0.246,-0.052,-1.064,-15.786,7.282,3.298,32130
0.252,-0.050,-1.068,-15.802,6.458,3.038,36141
0.258,-0.049,-1.065,-15.756,5.466,3.069,40152
0.271,-0.052,-1.067,-15.527,4.412,2.702,44163
0.268,-0.048,-1.077,-15.313,3.511,2.763,48172
0.265,-0.052,-1.064,-14.718,2.977,2.656,52183
0.272,-0.045,-1.073,-13.985,2.305,2.779,56194
0.261,-0.043,-1.067,-13.542,2.015,2.733,60205
0.263,-0.053,-1.073,-12.611,2.198,3.023,64216
0.258,-0.047,-1.082,-11.740,2.580,3.282,68228
0.254,-0.046,-1.077,-11.038,3.359,3.374,72239
0.246,-0.051,-1.082,-10.351,4.244,3.420,76251
0.239,-0.046,-1.085,-9.863,5.603,3.802,80261
0.242,-0.042,-1.082,-9.130,7.206,3.832,84272
0.246,-0.043,-1.084,-8.702,9.389,3.939,88284
0.241,-0.047,-1.098,-8.229,11.130,3.786,92295
0.243,-0.043,-1.093,-7.756,13.267,4.031,96307
0.251,-0.052,-1.107,-7.405,15.145,3.893,100317
0.261,-0.051,-1.110,-7.496,16.229,3.832,104328
0.281,-0.058,-1.113,-8.229,16.672,3.435,108339
0.302,-0.072,-1.127,-8.885,15.939,2.641,112350
0.331,-0.084,-1.122,-10.336,14.504,1.588,116361
0.350,-0.087,-1.122,-12.122,12.092,0.473,120372
0.364,-0.099,-1.126,-13.878,9.374,-0.626,124383
0.360,-0.088,-1.116,-15.313,6.580,-1.542,128393
0.364,-0.084,-1.120,-16.824,3.634,-2.489,132404
0.353,-0.077,-1.111,-17.832,1.084,-3.389,136415
0.338,-0.070,-1.113,-18.687,-1.023,-4.153,140426
0.326,-0.056,-1.105,-19.237,-2.427,-4.153,144437
0.309,-0.050,-1.094,-19.099,-3.481,-4.443,148448
0.299,-0.036,-1.084,-18.885,-3.527,-4.473,152458
0.286,-0.027,-1.087,-18.260,-3.115,-4.260,156469
0.266,-0.023,-1.083,-17.450,-2.183,-4.015,160481
0.258,-0.028,-1.071,-16.855,-0.824,-3.802,164492
0.253,-0.022,-1.065,-16.244,-0.168,-3.466,168503
0.244,-0.021,-1.063,-15.511,1.206,-3.542,172513
0.250,-0.021,-1.060,-15.053,2.870,-3.130,176524
0.245,-0.030,-1.053,-14.595,4.198,-3.221,180535
0.238,-0.023,-1.062,-13.832,5.695,-3.038,184546
0.228,-0.016,-1.059,-13.496,7.298,-2.763,188556
0.225,-0.019,-1.061,-12.870,8.748,-2.260,192567
0.227,-0.016,-1.061,-12.076,10.504,-1.634,196578
0.221,-0.023,-1.064,-11.634,11.908,-1.130,200589
0.225,-0.020,-1.054,-11.435,13.435,-0.779,204600
0.227,-0.029,-1.062,-11.023,14.916,-0.198,208612
0.226,-0.034,-1.068,-10.901,16.641,0.061,212623
0.232,-0.028,-1.062,-10.702,18.351,0.794,216635
0.229,-0.030,-1.076,-10.656,19.756,1.206,220645
0.236,-0.039,-1.081,-11.115,21.511,1.679,224656
0.233,-0.033,-1.076,-11.176,23.053,2.092,228668
0.240,-0.049,-1.081,-11.496,25.084,2.458,232688
0.236,-0.037,-1.095,-12.351,26.687,2.977,236699
0.243,-0.048,-1.088,-12.870,28.611,3.145,240711
0.241,-0.050,-1.089,-13.145,30.687,3.496,244722
0.240,-0.046,-1.091,-13.481,33.527,4.031,248733
0.235,-0.050,-1.090,-13.496,36.198,4.382,252745
0.233,-0.046,-1.098,-13.618,39.359,4.901,256757
0.237,-0.041,-1.103,-13.450,42.733,5.466,260767
0.233,-0.043,-1.104,-13.618,46.702,6.092,264778
0.239,-0.038,-1.105,-13.435,50.611,6.733,268791
0.236,-0.042,-1.103,-13.450,55.252,7.237,272802
0.237,-0.049,-1.109,-13.420,59.939,7.924,276813
0.238,-0.051,-1.111,-13.466,65.817,8.244,280824
0.233,-0.052,-1.114,-13.679,72.168,8.351,284835
0.230,-0.056,-1.117,-14.504,79.679,8.229,288846
0.224,-0.065,-1.111,-14.992,88.198,8.229,292856
0.210,-0.065,-1.119,-15.374,98.550,7.863,296867
0.189,-0.063,-1.121,-15.802,110.000,8.198,300878
0.179,-0.067,-1.124,-16.244,122.290,8.183,304889
0.174,-0.062,-1.115,-16.641,134.107,7.725,308901
0.193,-0.057,-1.099,-17.084,145.634,7.496,312914
0.212,-0.058,-1.103,-17.069,157.069,7.817,316925
0.239,-0.048,-1.107,-17.176,168.458,8.656,320936
0.262,-0.038,-1.090,-17.069,179.176,9.603,324947
0.308,-0.041,-1.093,-17.084,188.183,10.962,328958
0.341,-0.037,-1.094,-17.115,196.763,13.069,332978
0.365,-0.050,-1.091,-17.389,204.458,13.954,336988
0.391,-0.043,-1.080,-18.885,212.122,14.809,340999
0.415,-0.041,-1.079,-18.397,217.053,16.748,345010
0.460,-0.030,-1.078,-17.771,218.137,20.092,349021
0.506,-0.040,-1.065,-18.656,217.863,21.023,353042
0.555,-0.038,-1.057,-18.748,217.084,22.244,357053
0.573,-0.039,-1.046,-19.069,215.313,23.099,361064
0.603,-0.038,-1.041,-20.061,211.664,23.618,365075
0.619,-0.049,-1.032,-20.885,207.008,22.672,369086
0.629,-0.043,-1.002,-21.099,202.763,22.305,373100
0.623,-0.033,-1.001,-20.901,199.817,22.794,377110
0.620,-0.031,-0.991,-21.237,196.702,23.206,381121
0.626,-0.029,-0.990,-21.893,194.061,22.443,385132
0.643,-0.025,-0.984,-22.550,190.947,21.008,389143
0.656,-0.026,-0.969,-23.084,187.649,18.916,393153
0.669,-0.029,-0.957,-23.893,184.046,16.931,397164
0.674,-0.033,-0.941,-24.565,180.687,14.916,401175
0.679,-0.023,-0.939,-24.885,177.756,13.191,405186
0.665,-0.042,-0.937,-27.710,177.267,8.550,409197
0.659,-0.049,-0.906,-29.542,178.458,4.947,413217
0.667,-0.020,-0.921,-24.382,172.748,3.344,417228
0.713,0.004,-0.887,-25.939,172.427,7.710,421239
0.730,-0.006,-0.833,-29.008,173.267,8.473,425250
0.729,0.006,-0.860,-26.244,171.237,7.084,429261
0.719,0.007,-0.846,-25.344,170.473,9.313,433282
0.720,0.002,-0.822,-24.672,167.878,13.176,437293
0.721,0.003,-0.817,-24.031,168.962,15.450,441304
0.714,0.013,-0.810,-21.649,169.221,16.656,445315
0.708,0.004,-0.794,-21.237,171.023,17.939,449326
0.701,0.021,-0.799,-19.832,171.130,18.672,453344
0.702,0.015,-0.782,-18.916,172.244,18.763,457355
0.708,0.012,-0.767,-18.641,173.023,18.718,461366
0.695,-0.022,-0.741,-18.473,174.092,16.779,465377
0.731,0.027,-0.733,-15.160,174.382,14.321,469388
0.706,-0.018,-0.725,-16.458,175.863,19.008,473400
0.665,-0.086,-0.740,-13.573,176.168,13.511,477410
0.684,-0.051,-0.692,-13.893,181.969,13.542,481421
0.718,0.013,-0.692,-12.565,185.527,14.366,485432
0.760,0.045,-0.682,-12.382,188.382,16.626,489443
0.790,0.048,-0.659,-13.023,192.168,17.847,493454
0.787,0.031,-0.650,-11.282,194.229,18.122,497466
0.769,0.017,-0.626,-10.198,197.496,18.611,501476
0.734,0.005,-0.625,-8.122,201.817,20.153,505487
0.721,0.012,-0.616,-6.168,205.786,20.916,509498
0.726,0.016,-0.605,-4.733,210.702,21.649,513509
0.744,0.011,-0.594,-3.252,215.023,22.626,517520
0.768,-0.003,-0.577,-2.626,219.649,23.160,521531
0.818,-0.009,-0.579,-3.511,222.290,25.649,525542
0.847,-0.021,-0.563,-4.382,223.893,27.206,529553
0.898,-0.021,-0.558,-4.550,223.496,30.382,533568
0.928,-0.029,-0.530,-5.985,223.023,32.092,537579
0.933,-0.050,-0.526,-6.260,221.374,31.939,541590
0.915,-0.062,-0.523,-6.290,219.023,30.870,545602
0.910,-0.071,-0.510,-8.366,217.298,31.053,549613
0.911,-0.054,-0.507,-8.015,214.977,30.397,553634
0.936,-0.043,-0.477,-8.916,214.458,30.809,557645
0.938,-0.038,-0.460,-8.931,214.962,31.588,561656
0.933,-0.054,-0.459,-9.924,216.763,31.939,565667
0.944,-0.052,-0.434,-11.282,217.405,33.924,569678
0.955,-0.048,-0.437,-10.672,217.649,36.183,573698
0.982,-0.049,-0.402,-12.168,218.611,37.634,577709
0.989,-0.058,-0.403,-12.046,217.252,35.985,581720
0.987,-0.073,-0.384,-12.153,217.725,35.053,585731
0.991,-0.072,-0.370,-13.679,217.008,33.511,589742
0.984,-0.077,-0.384,-12.687,215.939,30.916,593752
0.984,-0.074,-0.355,-13.267,215.237,28.626,597763
1.018,-0.065,-0.341,-13.969,212.611,28.397,601774
1.051,-0.065,-0.337,-15.481,210.382,27.374,605785
1.065,-0.070,-0.322,-16.366,208.153,26.031,609796
1.062,-0.081,-0.302,-16.641,205.893,24.153,613807
1.064,-0.083,-0.290,-16.489,202.718,22.137,617817
1.058,-0.085,-0.268,-16.550,199.267,21.847,621828
1.043,-0.087,-0.253,-16.947,198.351,19.618,625839
1.031,-0.076,-0.244,-15.649,197.740,18.611,629850
1.028,-0.076,-0.223,-14.260,197.069,19.099,633871
1.020,-0.071,-0.210,-12.504,196.870,18.672,637882
1.019,-0.067,-0.191,-11.359,197.832,16.595,641893
1.028,-0.051,-0.168,-9.267,198.046,15.298,645905
1.034,-0.050,-0.150,-7.985,197.542,14.046,649917
1.026,-0.055,-0.141,-6.412,199.252,13.466,653928
1.037,-0.069,-0.126,-5.405,200.473,13.053,657939
1.065,-0.071,-0.109,-4.840,198.397,11.313,661950
1.086,-0.093,-0.103,-4.168,197.008,8.366,665961
1.087,-0.116,-0.080,-4.855,195.099,4.504,669972
1.099,-0.135,-0.088,-5.053,191.313,2.550,673983
1.096,-0.131,-0.065,-5.771,188.000,-0.305,677995
1.094,-0.115,-0.064,-5.985,185.924,-0.275,682005
1.098,-0.100,-0.042,-5.481,184.092,0.687,686016
1.091,-0.091,-0.026,-6.183,181.328,-0.855,690027
1.087,-0.090,-0.028,-5.893,177.817,-2.183,694038
1.100,-0.090,-0.027,-6.947,173.588,-2.443,698049
1.097,-0.101,-0.009,-8.122,170.412,-4.840,702060
1.086,-0.099,-0.003,-7.206,166.992,-6.137,706071
1.074,-0.100,0.003,-7.863,163.328,-7.313,710082
1.079,-0.107,0.028,-8.046,159.191,-6.992,714093
1.100,-0.097,0.039,-8.763,154.824,-5.557,718105
1.102,-0.101,0.037,-10.076,152.305,-6.046,722116
1.080,-0.103,0.057,-9.817,150.412,-7.802,726127
1.055,-0.102,0.063,-9.603,147.832,-8.122,730138
1.048,-0.098,0.081,-10.809,145.740,-7.267,734149
1.024,-0.087,0.085,-11.786,144.382,-8.534,738160
1.003,-0.084,0.086,-10.855,144.351,-9.832,742172
0.990,-0.097,0.110,-11.557,144.412,-9.267,746183
0.991,-0.094,0.110,-12.321,144.763,-10.595,750195
0.983,-0.092,0.124,-12.977,145.710,-11.573,754206
0.989,-0.095,0.143,-13.130,145.679,-12.458,758219
0.981,-0.097,0.155,-13.924,145.924,-13.466,762230
