acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.182,0.086,-1.103,-3.710,-1.191,-0.931,0
0.181,0.090,-1.124,-4.092,-1.832,-0.611,4051
0.169,0.090,-1.105,-4.092,-1.740,-0.809,8067
0.168,0.099,-1.108,-4.046,-1.832,-0.947,12078
0.171,0.099,-1.117,-4.046,-1.511,-0.870,16089
0.160,0.102,-1.117,-3.786,-1.557,-0.855,20100
0.156,0.102,-1.111,-3.328,-0.718,-0.931,24111
0.161,0.104,-1.125,-2.672,-0.031,-0.840,28122
0.155,0.108,-1.134,-2.412,0.824,-0.519,32133
0.165,0.100,-1.133,-1.908,1.313,-0.458,36144
0.170,0.097,-1.133,-2.092,1.160,-0.305,40155
0.175,0.090,-1.129,-1.908,1.252,-0.244,44166
0.182,0.079,-1.121,-2.519,1.099,-0.137,48177
0.185,0.080,-1.137,-3.053,0.626,-0.015,52188
0.181,0.086,-1.128,-3.740,0.198,0.107,56200
0.183,0.079,-1.133,-4.397,-0.214,0.046,60210
0.179,0.090,-1.131,-4.824,-0.550,-0.107,64221
0.178,0.087,-1.136,-5.084,-0.504,0.015,68232
0.173,0.095,-1.131,-5.527,-0.305,-0.046,72243
0.174,0.095,-1.134,-5.542,0.137,0.153,76254
0.170,0.100,-1.130,-5.557,0.275,-0.168,80265
0.173,0.095,-1.123,-5.237,0.626,-0.122,84276
0.170,0.094,-1.129,-5.237,1.038,-0.260,88287
0.169,0.098,-1.120,-4.931,1.176,-0.168,92298
0.167,0.102,-1.124,-4.809,1.695,-0.214,96309
0.166,0.096,-1.123,-4.931,1.450,-0.031,100320
0.169,0.091,-1.122,-4.824,1.588,-0.122,104331
0.180,0.088,-1.124,-4.855,1.527,-0.107,108344
0.179,0.090,-1.117,-5.267,1.374,0.061,112355
0.179,0.091,-1.119,-5.435,1.191,-0.046,116367
0.179,0.091,-1.118,-5.710,1.374,0.076,120378
0.175,0.089,-1.120,-5.847,1.115,-0.153,124389
0.174,0.090,-1.125,-5.527,1.298,-0.366,128400
0.167,0.098,-1.122,-5.435,1.466,-0.473,132411
0.170,0.101,-1.117,-5.542,2.092,-0.519,136422
0.165,0.100,-1.116,-5.328,2.229,-0.840,140433
0.165,0.096,-1.115,-5.023,2.763,-0.702,144444
0.168,0.103,-1.115,-4.794,2.855,-0.779,148455
0.167,0.101,-1.117,-4.870,3.008,-0.550,152466
0.176,0.097,-1.112,-4.702,3.221,-0.824,156477
0.184,0.096,-1.110,-4.763,3.023,-0.626,160488
0.179,0.101,-1.111,-4.931,2.504,-0.534,164499
0.186,0.093,-1.107,-5.084,2.198,-0.427,168511
0.179,0.094,-1.107,-4.962,1.466,-0.244,172521
0.186,0.091,-1.102,-5.115,0.779,-0.076,176532
0.180,0.100,-1.112,-5.221,0.656,0.015,180543
0.173,0.096,-1.111,-4.901,0.504,0.260,184554
0.173,0.104,-1.105,-4.855,0.321,0.046,188565
0.170,0.103,-1.096,-4.275,0.672,-0.031,192576
0.170,0.103,-1.103,-3.939,1.038,-0.275,196587
0.169,0.094,-1.108,-4.031,0.931,0.000,200598
0.175,0.088,-1.105,-4.092,0.565,0.061,204609
0.178,0.090,-1.101,-3.710,0.672,-0.183,208621
0.174,0.097,-1.109,-3.511,0.137,-0.153,212641
0.175,0.094,-1.110,-3.771,-0.214,0.046,216652
0.178,0.096,-1.113,-3.740,-0.198,-0.137,220664
0.176,0.092,-1.110,-3.740,-0.595,-0.336,224675
0.179,0.098,-1.113,-3.695,-0.412,-0.595,228686
0.178,0.092,-1.114,-3.359,-0.626,-0.443,232704
0.172,0.090,-1.112,-3.481,-0.626,-0.504,236715
0.170,0.099,-1.119,-3.374,-0.321,-0.473,240726
0.174,0.093,-1.110,-2.916,0.397,-0.580,244737
0.165,0.099,-1.118,-2.641,0.779,-0.611,248748
0.161,0.097,-1.116,-2.366,1.053,-0.611,252759
0.166,0.095,-1.113,-2.504,2.168,-0.534,256771
0.165,0.094,-1.126,-2.519,2.321,-0.489,260782
0.163,0.089,-1.112,-2.473,2.733,-0.458,264793
0.163,0.084,-1.116,-2.473,3.298,-0.565,268801
0.164,0.089,-1.120,-2.656,3.771,-0.748,272812
0.164,0.085,-1.118,-3.084,4.412,-0.977,276823
0.161,0.089,-1.123,-3.405,4.595,-0.992,280834
0.161,0.085,-1.124,-3.740,5.328,-1.069,284845
0.156,0.087,-1.112,-4.122,5.527,-0.962,288859
0.151,0.093,-1.114,-4.382,6.015,-0.656,292869
0.150,0.091,-1.114,-4.840,6.687,-0.870,296880
0.146,0.102,-1.113,-5.191,7.282,-0.672,300891
0.134,0.100,-1.107,-5.344,8.275,-0.550,304902
0.119,0.102,-1.102,-5.435,10.656,0.687,308914
0.108,0.096,-1.098,-5.634,12.931,0.840,312924
0.112,0.109,-1.091,-5.649,15.847,0.733,316935
0.093,0.117,-1.088,-5.313,19.435,0.794,320946
0.085,0.121,-1.086,-4.656,23.038,0.779,324958
0.067,0.124,-1.088,-3.603,27.725,0.901,328969
0.064,0.129,-1.090,-2.305,31.969,0.763,332990
0.069,0.126,-1.080,-1.084,36.702,0.779,337001
0.066,0.124,-1.090,0.595,42.260,0.534,341012
0.059,0.133,-1.084,2.656,48.992,0.382,345023
0.047,0.134,-1.074,4.656,56.565,0.855,349035
0.044,0.126,-1.073,6.824,64.366,1.344,353056
0.033,0.127,-1.070,8.870,74.595,0.992,357066
0.020,0.125,-1.066,11.359,86.519,0.183,361077
-0.005,0.126,-1.069,13.405,99.313,-0.427,365088
-0.014,0.115,-1.075,14.580,113.191,-0.779,369099
-0.003,0.112,-1.080,15.237,127.405,-0.748,373109
0.007,0.089,-1.083,16.580,142.031,-0.626,377120
0.024,0.084,-1.077,17.191,156.321,0.137,381131
0.057,0.072,-1.087,17.115,168.397,0.443,385142
0.102,0.067,-1.075,16.809,178.489,0.229,389153
0.145,0.077,-1.068,16.122,186.534,-0.275,393163
0.196,0.073,-1.076,14.977,192.366,-0.916,397174
0.233,0.070,-1.069,13.176,196.153,-1.878,401185
0.274,0.060,-1.070,11.206,197.725,-2.260,405196
0.300,0.052,-1.046,9.084,198.855,-2.870,409207
0.332,0.051,-1.051,7.298,198.336,-2.916,413228
0.348,0.055,-1.049,5.328,196.122,-3.206,417239
0.371,0.062,-1.047,3.374,192.870,-3.069,421250
0.395,0.061,-1.048,2.015,189.557,-2.656,425261
0.410,0.066,-1.044,0.748,186.504,-1.893,429272
0.425,0.059,-1.044,-0.840,182.947,-0.718,433293
0.421,0.058,-1.022,-1.771,180.519,-0.153,437304
0.408,0.064,-1.015,-2.351,178.321,1.160,441315
0.408,0.068,-1.015,-3.786,177.008,2.046,445326
0.420,0.061,-1.003,-4.733,174.962,1.786,449337
0.425,0.066,-1.003,-6.229,174.916,2.000,453349
0.442,0.065,-1.002,-7.954,174.687,1.786,457360
0.445,0.061,-0.999,-9.252,174.092,1.573,461371
0.448,0.064,-0.986,-9.969,173.374,1.527,465382
