acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.307,-0.270,-1.105,-0.763,-2.809,-0.107,0
0.303,-0.266,-1.098,-0.992,-2.962,-0.336,4050
0.297,-0.270,-1.102,-1.252,-2.824,-0.366,8064
0.299,-0.270,-1.104,-1.511,-2.290,-0.412,12075
0.298,-0.277,-1.099,-1.756,-1.969,-0.504,16087
0.301,-0.276,-1.095,-1.954,-1.405,-0.824,20097
0.296,-0.270,-1.100,-2.198,-0.809,-0.901,24108
0.294,-0.272,-1.097,-2.763,-0.244,-1.206,28119
0.295,-0.268,-1.101,-2.977,0.519,-1.588,32130
0.282,-0.268,-1.092,-3.206,0.962,-2.000,36141
0.288,-0.264,-1.101,-3.344,1.740,-2.534,40152
0.294,-0.261,-1.102,-3.511,1.969,-2.901,44163
0.296,-0.268,-1.107,-3.634,1.878,-3.206,48172
0.306,-0.265,-1.100,-3.603,1.878,-3.206,52183
0.304,-0.259,-1.108,-3.511,1.649,-2.656,56195
0.310,-0.259,-1.088,-3.481,1.160,-2.137,60205
0.309,-0.256,-1.092,-3.099,0.748,-1.603,64216
0.307,-0.250,-1.094,-2.870,-0.031,-1.420,68227
0.306,-0.256,-1.088,-2.641,-0.901,-1.344,72238
0.302,-0.254,-1.083,-2.534,-1.679,-1.069,76249
0.301,-0.248,-1.096,-2.260,-2.412,-1.130,80260
0.299,-0.254,-1.089,-2.244,-3.023,-1.023,84271
0.289,-0.248,-1.087,-2.214,-3.298,-0.718,88282
0.282,-0.251,-1.091,-2.183,-3.298,-0.427,92293
0.277,-0.244,-1.092,-1.954,-2.702,-0.061,96304
0.278,-0.247,-1.082,-2.015,-2.489,0.305,100315
0.282,-0.247,-1.088,-2.015,-2.076,0.168,104326
0.280,-0.248,-1.086,-2.015,-1.573,-0.168,108337
0.282,-0.249,-1.088,-2.076,-1.115,-0.397,112349
0.280,-0.251,-1.090,-2.076,-0.977,-0.779,116359
0.288,-0.252,-1.090,-2.443,-0.702,-0.947,120370
0.294,-0.258,-1.090,-2.611,-0.687,-0.794,124381
0.293,-0.257,-1.100,-2.794,-0.702,-0.992,128392
0.303,-0.261,-1.099,-2.809,-0.962,-0.641,132404
0.297,-0.259,-1.098,-2.809,-1.221,-0.550,136415
0.302,-0.250,-1.105,-2.809,-1.359,-0.458,140427
0.302,-0.253,-1.098,-2.809,-1.557,-0.305,144438
0.304,-0.257,-1.105,-2.824,-1.725,-0.351,148448
0.297,-0.254,-1.104,-2.733,-1.634,-0.321,152460
0.298,-0.250,-1.105,-2.550,-1.588,-0.076,156471
0.298,-0.256,-1.102,-2.611,-1.450,0.183,160483
0.300,-0.254,-1.108,-2.550,-1.099,0.260,164494
0.302,-0.256,-1.105,-2.168,-1.359,0.275,168505
0.301,-0.252,-1.105,-1.771,-1.221,0.611,172516
0.297,-0.250,-1.102,-1.344,-0.916,1.069,176527
0.295,-0.250,-1.108,-1.160,-0.840,1.023,180538
0.298,-0.257,-1.102,-0.672,-0.687,1.420,184549
0.309,-0.258,-1.107,-0.412,-1.023,1.359,188560
0.318,-0.264,-1.101,-0.351,-1.145,1.328,192571
0.305,-0.267,-1.106,-0.107,-0.931,1.511,196582
0.320,-0.266,-1.100,-0.198,-1.252,1.725,200593
0.308,-0.271,-1.108,-0.305,-1.405,1.847,204604
0.316,-0.273,-1.105,-0.626,-1.573,1.618,208616
0.315,-0.271,-1.108,-0.550,-1.634,1.466,212627
0.313,-0.276,-1.108,-0.534,-1.802,1.374,216638
0.315,-0.278,-1.100,-0.840,-1.542,0.977,220649
0.311,-0.274,-1.111,-1.008,-1.649,0.962,224660
0.316,-0.281,-1.105,-1.389,-1.466,0.473,228672
0.317,-0.283,-1.108,-1.863,-1.466,-0.046,232691
0.321,-0.278,-1.107,-2.198,-1.527,-0.626,236702
0.312,-0.281,-1.105,-2.550,-1.466,-0.931,240713
0.309,-0.274,-1.100,-2.611,-1.282,-1.374,244724
0.306,-0.274,-1.110,-2.962,-1.023,-1.878,248736
0.310,-0.278,-1.099,-2.992,-0.931,-2.198,252747
0.303,-0.268,-1.090,-2.885,-0.595,-2.427,256759
0.306,-0.267,-1.098,-2.809,-0.779,-2.504,260769
0.304,-0.262,-1.101,-2.641,-0.809,-2.519,264780
0.312,-0.263,-1.090,-2.473,-0.870,-2.733,268793
0.309,-0.258,-1.100,-2.504,-1.389,-3.023,272804
0.307,-0.270,-1.102,-2.534,-2.092,-3.084,276815
0.312,-0.271,-1.098,-3.130,-3.359,-3.557,280826
0.316,-0.271,-1.104,-3.969,-5.038,-3.802,284837
0.325,-0.274,-1.099,-4.992,-6.824,-3.863,288848
0.317,-0.269,-1.095,-5.756,-8.794,-3.695,292858
0.308,-0.262,-1.096,-6.244,-10.366,-3.328,296870
0.300,-0.259,-1.092,-6.473,-11.847,-2.611,300881
0.300,-0.254,-1.093,-6.641,-13.298,-2.198,304892
0.289,-0.248,-1.091,-6.489,-14.168,-1.557,308904
0.276,-0.241,-1.087,-6.092,-14.443,-0.824,312914
0.259,-0.240,-1.087,-5.893,-14.046,-0.534,316925
0.243,-0.228,-1.092,-5.298,-13.191,-0.504,320936
0.238,-0.230,-1.087,-4.916,-12.015,-0.611,324947
0.235,-0.231,-1.082,-4.458,-10.931,-0.977,328958
0.223,-0.232,-1.084,-3.908,-9.313,-1.359,332978
0.224,-0.226,-1.081,-3.344,-7.374,-1.221,336990
0.226,-0.228,-1.088,-2.687,-5.496,-1.023,341001
0.216,-0.222,-1.085,-1.817,-3.542,-0.962,345012
0.212,-0.232,-1.094,-1.069,-1.588,-0.718,349023
0.220,-0.227,-1.091,-0.198,0.260,-0.565,353044
0.227,-0.229,-1.093,0.656,2.000,-0.305,357055
0.240,-0.234,-1.091,1.313,3.176,-0.260,361066
0.247,-0.239,-1.101,1.405,3.542,-0.061,365078
0.254,-0.244,-1.089,1.450,3.725,-0.015,369089
0.268,-0.244,-1.105,1.649,3.588,0.244,373102
0.274,-0.252,-1.108,1.282,3.130,0.458,377114
0.288,-0.261,-1.109,1.069,2.122,0.641,381124
0.290,-0.260,-1.102,0.382,0.748,1.206,385135
0.296,-0.269,-1.106,-0.244,-0.931,1.405,389147
0.301,-0.262,-1.106,-0.489,-1.969,1.618,393159
0.294,-0.262,-1.111,-0.992,-3.176,1.939,397169
0.289,-0.261,-1.107,-1.160,-4.366,2.000,401180
0.287,-0.260,-1.103,-1.542,-4.916,2.107,405191
0.284,-0.262,-1.109,-1.802,-5.191,1.985,409202
0.272,-0.252,-1.104,-1.847,-5.328,1.756,413223
0.260,-0.255,-1.105,-1.863,-4.977,1.695,417234
0.263,-0.251,-1.104,-1.817,-4.153,1.359,421245
0.258,-0.249,-1.103,-1.771,-3.511,1.435,425256
0.261,-0.263,-1.104,-2.000,-3.084,1.115,429267
0.263,-0.268,-1.108,-2.336,-2.412,1.038,433288
0.261,-0.264,-1.110,-2.687,-2.031,0.809,437299
0.266,-0.268,-1.109,-3.298,-1.756,0.763,441310
0.274,-0.271,-1.113,-3.527,-1.695,0.809,445321
0.275,-0.268,-1.110,-4.000,-1.863,0.519,449332
0.276,-0.270,-1.115,-4.427,-1.985,0.504,453350
0.281,-0.262,-1.116,-4.809,-2.519,0.336,457361
0.287,-0.273,-1.116,-5.267,-2.794,0.473,461372
0.288,-0.272,-1.117,-5.420,-3.603,0.443,465384
0.288,-0.266,-1.108,-5.695,-4.366,0.290,469395
0.300,-0.274,-1.115,-5.542,-4.931,0.244,473406
0.300,-0.264,-1.096,-5.069,-5.863,0.443,477417
0.295,-0.262,-1.118,-5.649,-5.725,0.519,481428
0.275,-0.251,-1.103,-5.023,-5.985,1.069,485439
0.288,-0.253,-1.113,-4.809,-6.595,1.389,489450
0.281,-0.251,-1.104,-4.122,-6.229,1.618,493461
0.276,-0.251,-1.110,-3.069,-5.450,1.176,497472
0.273,-0.261,-1.108,-2.656,-5.252,1.099,501483
0.268,-0.260,-1.121,-2.580,-4.855,1.038,505495
0.259,-0.257,-1.114,-2.565,-4.321,0.779,509506
0.265,-0.265,-1.114,-2.641,-3.634,0.718,513516
0.267,-0.266,-1.107,-2.626,-2.718,0.626,517527
0.261,-0.270,-1.120,-2.794,-2.229,0.565,521538
0.261,-0.269,-1.108,-3.053,-1.435,0.366,525549
0.265,-0.260,-1.117,-3.542,-0.718,0.092,529560
0.266,-0.261,-1.115,-3.924,-0.229,-0.366,533571
0.269,-0.261,-1.121,-4.168,0.153,-0.611,537582
0.261,-0.261,-1.107,-4.336,0.321,-0.824,541593
0.270,-0.261,-1.117,-4.519,0.458,-0.809,545604
0.275,-0.259,-1.108,-4.168,0.718,-0.718,549615
0.277,-0.255,-1.107,-4.275,0.595,-0.718,553636
0.287,-0.260,-1.110,-4.275,0.183,-0.763,557648
0.285,-0.255,-1.115,-4.214,-0.351,-0.779,561659
0.282,-0.256,-1.105,-4.122,-0.824,-0.565,565670
0.281,-0.254,-1.106,-3.847,-1.405,-0.229,569681
0.285,-0.254,-1.112,-3.389,-1.863,-0.031,573702
0.283,-0.254,-1.110,-3.084,-2.260,0.183,577713
0.280,-0.252,-1.115,-2.580,-2.641,0.458,581724
0.276,-0.256,-1.102,-2.031,-2.809,0.641,585735
0.277,-0.252,-1.110,-1.740,-2.824,0.763,589746
0.274,-0.259,-1.114,-1.603,-2.840,0.718,593756
0.277,-0.262,-1.112,-1.756,-2.656,0.550,597767
0.271,-0.261,-1.105,-1.817,-2.473,0.137,601778
0.276,-0.269,-1.111,-2.443,-2.153,0.015,605790
0.269,-0.263,-1.103,-2.794,-1.924,-0.122,609801
0.268,-0.261,-1.114,-3.023,-1.298,-0.519,613811
0.265,-0.261,-1.113,-3.573,-0.901,-0.702,617822
0.262,-0.259,-1.112,-3.664,-0.473,-1.008,621833
0.264,-0.257,-1.097,-3.771,0.290,-1.252,625845
0.268,-0.258,-1.099,-3.924,0.595,-1.664,629856
0.271,-0.255,-1.107,-3.847,0.870,-1.771,633876
0.271,-0.256,-1.106,-3.847,1.053,-2.107,637888
0.283,-0.255,-1.107,-3.878,1.115,-2.198,641900
0.284,-0.261,-1.097,-3.985,1.069,-2.046,645911
0.280,-0.251,-1.112,-3.893,0.901,-2.092,649923
0.282,-0.260,-1.106,-3.802,0.382,-2.214,653934
0.283,-0.253,-1.104,-3.786,0.031,-2.076,657945
0.274,-0.249,-1.102,-3.649,-0.504,-2.198,661956
0.275,-0.247,-1.108,-3.588,-0.748,-2.153,665967
0.269,-0.249,-1.104,-3.405,-1.023,-1.908,669978
0.285,-0.253,-1.108,-3.282,-1.496,-1.542,673989
0.278,-0.256,-1.111,-3.344,-1.878,-1.344,678001
0.280,-0.256,-1.109,-3.542,-2.076,-1.038,682012
0.269,-0.255,-1.108,-3.511,-2.260,-1.115,686024
0.273,-0.249,-1.093,-3.420,-2.534,-0.962,690035
0.271,-0.250,-1.103,-3.405,-2.595,-1.023,694046
0.269,-0.252,-1.103,-3.603,-2.550,-1.405,698058
0.263,-0.250,-1.097,-3.695,-2.427,-1.618,702068
0.269,-0.246,-1.101,-3.405,-2.427,-1.618,706079
0.266,-0.245,-1.097,-3.542,-1.908,-1.695,710090
0.260,-0.246,-1.099,-3.099,-1.573,-1.405,714101
0.258,-0.253,-1.101,-3.267,-1.435,-1.603,718107
0.264,-0.250,-1.098,-3.160,-1.206,-1.649,722118
0.263,-0.256,-1.097,-3.237,-0.977,-1.817,726129
0.270,-0.246,-1.102,-3.389,-1.145,-2.076,730140
0.264,-0.256,-1.102,-3.511,-1.038,-2.244,734151
0.263,-0.254,-1.103,-3.435,-1.023,-2.397,738157
0.265,-0.257,-1.100,-3.511,-1.099,-2.595,742168
0.267,-0.254,-1.100,-3.450,-1.176,-2.595,746179
0.273,-0.255,-1.102,-3.435,-1.221,-2.565,750190
0.267,-0.252,-1.097,-3.557,-1.389,-2.366,754201
0.260,-0.254,-1.093,-3.481,-1.130,-1.954,758213
0.256,-0.250,-1.112,-3.282,-1.237,-1.863,762224
0.253,-0.246,-1.107,-2.794,-0.977,-1.756,766236
0.259,-0.249,-1.101,-2.489,-1.053,-1.618,770247
0.265,-0.249,-1.094,-2.305,-1.130,-1.221,774258
0.259,-0.249,-1.100,-2.015,-1.466,-1.084,778270
0.261,-0.250,-1.096,-2.015,-1.695,-0.962,782281
0.261,-0.251,-1.099,-1.832,-2.183,-0.718,786293
0.260,-0.252,-1.101,-1.954,-2.458,-0.656,790303
0.260,-0.255,-1.107,-1.679,-2.870,-0.427,794314
0.251,-0.256,-1.091,-2.122,-2.916,0.031,798325
0.252,-0.257,-1.101,-2.198,-3.115,0.229,802336
0.252,-0.259,-1.118,-2.122,-2.595,0.107,806347
0.243,-0.258,-1.103,-2.198,-2.321,0.076,810358
0.242,-0.253,-1.103,-2.366,-1.863,-0.137,814369
0.235,-0.260,-1.109,-2.427,-1.634,-0.382,818379
0.252,-0.259,-1.097,-2.794,-1.282,-0.672,822390
0.249,-0.269,-1.105,-3.038,-0.931,-0.687,826401
0.248,-0.257,-1.104,-3.496,-0.992,-0.748,830412
0.250,-0.252,-1.103,-3.695,-0.733,-0.580,834423
0.251,-0.254,-1.109,-3.924,-0.687,-0.687,838434
0.249,-0.257,-1.106,-3.863,-0.794,-0.504,842445
0.246,-0.258,-1.113,-3.832,-0.534,-0.351,846455
0.245,-0.253,-1.101,-3.496,-0.870,-0.122,850466
