acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.050,0.060,-1.108,2.290,-1.695,-18.198,0
0.051,0.052,-1.110,2.473,-2.168,-16.214,4038
0.062,0.042,-1.118,2.824,-2.763,-14.794,8049
0.062,0.040,-1.114,2.870,-3.573,-12.656,12058
0.070,0.039,-1.115,2.305,-4.153,-10.870,16068
0.061,0.034,-1.112,1.832,-4.626,-8.626,20078
0.058,0.036,-1.113,1.313,-5.328,-7.038,24088
0.055,0.032,-1.120,1.221,-5.679,-6.092,28094
0.047,0.023,-1.123,0.565,-5.618,-5.221,32103
0.041,0.032,-1.123,-0.336,-5.282,-4.885,36112
0.029,0.032,-1.115,-0.519,-4.702,-4.794,40122
-0.006,0.042,-1.126,-1.695,-3.725,-2.534,44132
-0.017,0.035,-1.130,-2.366,-1.878,-0.260,48143
-0.025,0.043,-1.125,-2.534,0.595,1.313,52153
-0.023,0.032,-1.113,-2.870,2.779,2.611,56162
-0.022,0.040,-1.120,-3.008,4.962,3.328,60172
-0.008,0.040,-1.119,-3.191,7.038,4.031,64182
0.004,0.041,-1.106,-3.221,8.183,4.763,68192
0.010,0.048,-1.117,-3.496,9.282,4.901,72201
0.022,0.052,-1.112,-3.634,9.618,5.160,76211
0.017,0.054,-1.114,-4.015,9.649,5.221,80221
0.015,0.043,-1.127,-4.595,9.481,5.695,84231
0.012,0.053,-1.112,-4.748,9.160,6.397,88241
0.014,0.040,-1.117,-4.962,8.046,6.794,92252
0.006,0.042,-1.125,-5.527,7.542,7.511,96261
0.017,0.042,-1.119,-5.756,6.977,8.061,100271
0.009,0.039,-1.112,-5.924,6.351,8.779,104280
-0.001,0.043,-1.113,-5.985,5.969,9.481,108291
0.000,0.038,-1.107,-6.000,5.954,9.924,112301
0.005,0.047,-1.109,-6.076,5.588,10.198,116310
0.000,0.042,-1.103,-5.985,5.130,10.992,120319
0.015,0.054,-1.112,-5.802,4.870,10.794,124329
0.008,0.055,-1.109,-5.557,4.840,10.626,128341
-0.013,0.057,-1.110,-5.252,4.489,10.595,132351
-0.007,0.059,-1.100,-5.099,3.802,9.786,136361
-0.011,0.054,-1.100,-4.519,4.076,9.603,140372
-0.018,0.057,-1.092,-4.244,4.718,9.832,144381
-0.020,0.049,-1.098,-3.679,5.008,10.427,148391
-0.016,0.056,-1.109,-2.885,4.870,10.366,152401
-0.003,0.063,-1.104,-2.260,4.336,9.466,156411
-0.007,0.073,-1.101,-1.359,3.344,9.053,160421
-0.004,0.076,-1.102,-0.504,2.916,8.733,164431
0.003,0.070,-1.104,0.076,1.985,8.519,168440
0.005,0.070,-1.101,0.473,0.672,8.168,172451
0.002,0.069,-1.099,1.008,-0.534,8.015,176460
0.000,0.061,-1.110,1.267,-1.802,7.466,180470
0.002,0.058,-1.112,1.145,-3.359,7.176,184479
-0.003,0.054,-1.114,0.550,-4.992,6.992,188489
-0.010,0.057,-1.114,-0.244,-5.908,6.947,192499
0.007,0.038,-1.124,-1.267,-7.069,5.588,196509
0.002,0.043,-1.125,-2.000,-8.336,4.107,200519
-0.003,0.048,-1.128,-2.931,-9.939,3.389,204529
-0.022,0.045,-1.119,-3.878,-10.229,3.893,208540
-0.059,0.049,-1.107,-4.076,-10.137,5.053,212550
-0.069,0.044,-1.114,-4.290,-9.160,5.084,216561
-0.057,0.042,-1.108,-4.550,-8.107,4.107,220570
-0.037,0.048,-1.107,-4.336,-8.229,1.908,224580
-0.038,0.062,-1.121,-4.137,-7.756,0.977,228593
-0.027,0.051,-1.109,-3.634,-7.450,-0.580,232603
-0.024,0.059,-1.098,-2.916,-7.878,-2.000,236613
-0.044,0.060,-1.100,-2.168,-7.145,-2.885,240623
-0.036,0.056,-1.099,-1.389,-6.901,-3.878,244633
-0.052,0.067,-1.101,-0.260,-6.275,-3.863,248643
-0.053,0.066,-1.094,1.282,-5.542,-3.282,252662
-0.043,0.058,-1.104,2.443,-5.145,-3.893,256673
-0.031,0.050,-1.108,3.863,-5.817,-4.168,260682
-0.015,0.052,-1.112,4.702,-6.412,-5.191,264692
-0.007,0.033,-1.115,5.115,-7.221,-5.344,268702
-0.017,0.039,-1.118,5.542,-8.031,-4.229,272714
-0.027,0.032,-1.114,5.588,-8.702,-3.344,276725
0.000,0.020,-1.123,5.817,-9.420,-3.710,280734
-0.017,0.015,-1.116,5.084,-10.015,-3.954,284744
-0.044,0.030,-1.125,4.626,-10.351,-2.962,288753
-0.071,0.019,-1.115,3.817,-9.710,-1.389,292763
-0.069,0.020,-1.129,3.115,-7.969,0.305,296773
-0.072,0.010,-1.121,2.656,-6.611,1.634,300783
-0.055,0.012,-1.123,2.076,-5.649,2.550,304793
-0.036,0.004,-1.116,1.466,-5.221,2.382,308804
-0.038,-0.005,-1.120,0.885,-4.824,2.962,312814
-0.033,0.003,-1.108,0.290,-4.214,3.649,316824
-0.016,0.021,-1.103,-0.183,-3.863,3.206,320834
-0.032,0.015,-1.106,0.183,-4.229,3.298,324844
-0.035,0.020,-1.118,0.015,-4.000,3.588,328856
-0.011,0.021,-1.111,0.015,-4.107,3.069,332865
-0.024,0.024,-1.108,0.580,-4.779,2.702,336875
-0.017,0.018,-1.120,0.137,-5.084,2.336,340885
-0.022,0.017,-1.108,0.641,-5.389,1.771,344894
-0.031,0.014,-1.111,0.840,-5.496,1.832,348905
-0.042,0.020,-1.115,0.931,-4.641,2.153,352919
-0.043,0.013,-1.121,0.916,-4.137,2.260,356929
-0.035,0.014,-1.125,0.916,-3.588,2.214,360939
-0.025,0.015,-1.115,0.687,-3.618,1.863,364949
-0.030,0.013,-1.124,0.718,-3.145,1.786,368958
-0.027,0.018,-1.114,0.733,-2.718,1.466,372978
-0.019,0.021,-1.116,0.595,-2.137,0.824,376988
-0.023,0.025,-1.112,0.931,-2.198,0.076,380999
-0.035,0.026,-1.125,0.870,-1.786,-0.107,385008
-0.006,0.021,-1.114,1.069,-1.740,-1.924,389018
0.080,0.025,-1.117,0.611,-3.695,-7.939,393037
-0.085,0.058,-1.131,0.977,-4.840,-3.221,397048
-0.106,0.034,-1.130,0.534,-3.298,2.656,401057
-0.094,0.022,-1.125,1.038,-1.588,5.115,405066
-0.076,0.009,-1.128,1.008,-1.298,6.031,409076
-0.052,0.005,-1.140,0.718,-1.237,6.458,413086
-0.025,0.008,-1.136,-0.076,-1.664,6.550,417095
0.001,0.010,-1.129,-0.977,-2.336,6.382,421105
-0.004,0.022,-1.122,-1.802,-2.244,6.580,425115
-0.050,0.017,-1.135,-3.008,-2.641,8.290,429125
-0.037,0.012,-1.119,-4.000,-3.038,8.840,433134
-0.021,0.004,-1.127,-4.290,-3.511,7.802,437144
-0.061,0.022,-1.119,-4.718,-3.176,9.344,441154
-0.056,0.026,-1.113,-4.595,-2.519,11.313,445164
-0.061,0.023,-1.122,-4.824,-2.031,12.260,449173
-0.037,0.016,-1.113,-5.099,-1.802,11.847,453183
-0.035,0.016,-1.106,-4.733,-1.908,11.298,457193
-0.025,0.028,-1.104,-4.626,-1.740,10.779,461203
-0.040,0.030,-1.102,-3.954,-1.481,10.794,465213
