acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.05,-0.09,-1.14,-8.95,2.29,2.23
0.05,-0.07,-1.14,-10.18,2.26,1.69
0.04,-0.04,-1.13,-9.60,3.19,1.95
0.02,-0.03,-1.12,-8.18,4.67,2.20
0.02,-0.03,-1.10,-6.12,6.63,2.49
0.02,-0.03,-1.10,-4.20,8.73,2.12
0.04,-0.05,-1.09,-2.60,10.32,1.31
0.05,-0.05,-1.09,-2.20,10.82,0.69
0.06,-0.06,-1.10,-2.46,10.72,0.41
0.07,-0.07,-1.09,-3.22,9.66,0.44
0.07,-0.07,-1.10,-4.17,8.31,0.50
0.07,-0.07,-1.11,-5.13,6.66,0.58
0.07,-0.08,-1.12,-6.76,4.76,-0.14
0.08,-0.10,-1.14,-9.22,2.64,-1.11
0.06,-0.10,-1.13,-11.97,1.11,-1.30
0.06,-0.08,-1.13,-13.59,0.90,-0.73
0.04,-0.06,-1.13,-13.71,1.07,-0.27
0.04,-0.04,-1.10,-14.24,2.31,0.98
0.02,-0.03,-1.11,-9.77,2.53,1.83
0.02,-0.04,-1.11,-8.37,3.31,1.31
0.03,-0.03,-1.09,-6.41,4.08,0.96
0.05,-0.05,-1.11,-4.90,4.76,0.99
0.05,-0.05,-1.12,-4.40,4.85,0.82
0.06,-0.06,-1.12,-3.80,4.55,0.37
0.06,-0.06,-1.13,-3.74,4.14,0.29
0.06,-0.08,-1.14,-4.70,3.51,0.37
0.06,-0.09,-1.15,-6.20,3.04,-0.21
0.06,-0.08,-1.15,-7.83,2.49,-0.75
0.05,-0.07,-1.15,-9.25,2.26,-0.84
0.03,-0.06,-1.15,-10.26,2.35,-0.12
0.04,-0.05,-1.14,-10.31,2.67,0.72
0.04,-0.04,-1.13,-10.09,3.21,1.42
0.04,-0.05,-1.13,-9.53,3.31,1.44
0.05,-0.05,-1.13,-9.73,3.39,1.31
0.05,-0.05,-1.14,-9.69,3.42,1.59
0.05,-0.05,-1.15,-9.37,3.10,1.95
0.06,-0.04,-1.14,-8.27,2.50,2.47
0.06,-0.03,-1.14,-6.12,2.24,2.96
0.06,-0.03,-1.14,-4.02,2.03,2.84
0.05,-0.04,-1.14,-2.69,1.65,2.60
0.06,-0.04,-1.13,-1.47,2.20,2.55
0.05,-0.06,-1.14,-1.10,2.58,3.08
0.06,-0.06,-1.12,-1.11,2.99,2.89
0.07,-0.07,-1.14,-1.68,3.28,2.44
0.07,-0.07,-1.14,-3.31,2.99,2.64
0.08,-0.08,-1.15,-5.01,2.27,3.01
0.09,-0.07,-1.16,-6.31,1.02,3.34
0.09,-0.07,-1.17,-7.56,-0.81,3.15
0.09,-0.06,-1.16,-8.75,-2.26,2.75
0.09,-0.06,-1.16,-9.18,-3.39,2.75
0.08,-0.05,-1.15,-9.86,-3.74,2.90
0.06,-0.05,-1.15,-9.83,-3.44,2.90
0.05,-0.05,-1.15,-9.80,-2.90,3.16
0.05,-0.05,-1.14,-9.83,-1.22,2.99
0.05,-0.05,-1.13,-9.37,0.46,2.75
0.06,-0.05,-1.12,-8.96,1.73,2.31
0.06,-0.05,-1.11,-8.70,2.79,1.80
0.06,-0.05,-1.11,-8.85,3.89,1.40
0.06,-0.04,-1.11,-8.38,4.41,1.30
0.07,-0.03,-1.10,-8.08,4.34,1.24
0.08,-0.03,-1.10,-6.85,3.76,1.33
