acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.274,-0.007,-1.107,-7.084,2.183,-0.550,0
0.281,-0.009,-1.100,-7.237,2.275,-0.840,4052
0.281,-0.004,-1.100,-7.206,2.504,-0.626,8064
0.284,-0.004,-1.093,-7.389,2.229,-0.611,12075
0.280,-0.006,-1.103,-7.389,1.985,-0.580,16086
0.285,-0.001,-1.097,-7.359,1.527,-0.443,20097
0.280,0.001,-1.102,-6.962,1.267,-0.092,24108
0.286,0.008,-1.104,-6.336,0.611,0.015,28118
0.279,0.012,-1.101,-5.542,0.489,0.260,32130
0.282,0.011,-1.098,-5.008,0.519,0.244,36140
0.281,0.008,-1.101,-4.366,0.519,0.168,40151
0.271,0.005,-1.099,-4.000,0.824,0.031,44162
0.269,-0.000,-1.095,-3.847,1.084,0.061,48171
0.262,-0.006,-1.092,-3.939,1.878,-0.015,52182
0.267,-0.009,-1.105,-4.336,2.183,0.092,56193
0.272,-0.013,-1.104,-4.824,2.748,0.107,60204
0.285,-0.023,-1.106,-5.557,2.748,0.397,64215
0.293,-0.022,-1.109,-6.382,2.824,0.595,68227
0.298,-0.029,-1.106,-7.191,2.214,0.733,72238
0.291,-0.016,-1.108,-7.710,1.588,1.053,76249
0.287,-0.011,-1.109,-8.122,0.672,0.809,80260
0.288,-0.000,-1.099,-8.366,0.031,0.550,84271
0.290,0.004,-1.101,-8.504,-0.443,-0.183,88283
0.280,0.013,-1.099,-8.305,-1.023,-0.656,92294
0.279,0.014,-1.093,-7.893,-0.947,-0.977,96305
0.278,0.009,-1.093,-7.176,-1.069,-1.099,100316
0.276,0.015,-1.090,-6.443,-0.672,-1.084,104327
0.270,0.011,-1.090,-5.802,-0.580,-0.885,108339
0.274,0.011,-1.089,-5.023,0.198,-0.718,112349
0.275,0.010,-1.089,-4.550,0.565,-0.641,116360
0.265,0.004,-1.094,-4.137,1.313,-0.519,120371
0.265,0.004,-1.091,-3.847,1.786,-0.351,124382
0.279,0.005,-1.099,-3.740,2.076,-0.641,128393
0.273,0.003,-1.093,-3.527,2.519,-0.763,132404
0.280,0.005,-1.093,-3.603,2.916,-0.931,136416
0.283,0.008,-1.091,-3.664,3.374,-1.069,140426
