acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.322,-0.102,-1.119,-1.527,2.260,1.771,0
0.332,-0.094,-1.116,-2.183,1.832,1.160,4040
0.326,-0.099,-1.129,-3.145,1.405,0.901,8053
0.328,-0.091,-1.123,-3.740,0.519,0.443,12065
0.328,-0.091,-1.112,-4.260,-0.229,-0.229,16077
0.324,-0.090,-1.123,-4.641,-1.679,-0.718,20089
0.324,-0.085,-1.123,-4.901,-2.809,-1.084,24101
0.322,-0.084,-1.125,-4.947,-2.962,-1.359,28112
0.315,-0.084,-1.120,-4.855,-3.267,-1.573,32124
0.305,-0.080,-1.126,-4.366,-3.924,-1.695,36136
0.311,-0.075,-1.115,-3.939,-3.908,-1.847,40148
0.302,-0.075,-1.121,-3.634,-3.466,-1.679,44160
0.302,-0.074,-1.124,-3.313,-2.947,-1.710,48172
0.293,-0.078,-1.124,-3.008,-2.473,-1.328,52184
0.291,-0.076,-1.112,-2.504,-2.275,-1.008,56196
0.301,-0.084,-1.113,-2.198,-1.740,-0.763,60208
0.295,-0.076,-1.117,-1.893,-1.344,-0.489,64219
0.300,-0.077,-1.123,-1.527,-1.267,-0.229,68231
0.301,-0.078,-1.119,-1.130,-0.916,-0.031,72243
0.300,-0.081,-1.128,-0.947,-0.595,0.290,76255
0.306,-0.078,-1.125,-0.824,-0.427,0.504,80267
0.302,-0.086,-1.129,-0.916,-0.244,0.489,84278
0.301,-0.087,-1.128,-0.794,-0.183,0.611,88290
0.296,-0.094,-1.128,-1.176,-0.168,0.489,92301
0.312,-0.093,-1.128,-1.603,-0.092,0.473,96312
0.314,-0.103,-1.125,-2.015,-0.153,0.137,100323
0.318,-0.095,-1.129,-2.534,0.000,0.046,104334
0.311,-0.094,-1.131,-3.359,-0.214,-0.092,108346
0.316,-0.102,-1.127,-4.122,-0.611,-0.183,112358
0.319,-0.094,-1.110,-4.534,-0.733,-0.412,116370
0.326,-0.103,-1.125,-5.313,-1.053,-0.687,120382
0.322,-0.092,-1.122,-5.893,-1.435,-0.840,124393
0.314,-0.094,-1.122,-6.626,-1.969,-0.962,128404
0.308,-0.092,-1.128,-7.115,-2.092,-0.962,132417
0.310,-0.087,-1.117,-7.130,-2.336,-1.069,136428
0.303,-0.080,-1.112,-6.931,-2.336,-1.206,140440
0.306,-0.071,-1.118,-6.626,-2.321,-1.328,144452
0.301,-0.069,-1.121,-6.076,-1.985,-1.099,148464
0.298,-0.062,-1.110,-5.389,-1.924,-1.023,152476
0.298,-0.065,-1.111,-4.580,-1.099,-0.885,156488
0.300,-0.067,-1.110,-4.015,-0.870,-0.687,160500
0.297,-0.075,-1.110,-3.145,-0.641,-0.580,164511
0.298,-0.072,-1.113,-2.305,-0.137,-0.305,168523
0.301,-0.072,-1.115,-1.481,0.168,0.015,172535
0.309,-0.071,-1.112,-1.115,0.550,0.260,176547
0.308,-0.079,-1.109,-0.611,0.779,0.550,180559
0.311,-0.084,-1.118,-0.412,1.115,0.687,184571
0.311,-0.083,-1.111,-0.290,1.267,0.916,188583
0.307,-0.090,-1.118,-0.153,1.298,0.931,192603
0.307,-0.090,-1.118,-0.458,1.405,0.931,196614
0.307,-0.090,-1.113,-0.901,1.344,1.038,200625
0.304,-0.089,-1.108,-1.160,1.191,0.947,204636
0.309,-0.095,-1.112,-1.649,1.069,0.641,208651
0.309,-0.097,-1.104,-2.183,1.023,0.580,212662
0.312,-0.095,-1.112,-2.595,0.580,0.229,216674
0.310,-0.099,-1.105,-3.237,0.412,-0.046,220686
0.314,-0.095,-1.114,-3.237,0.214,-0.198,224698
0.311,-0.094,-1.110,-3.588,-0.351,-0.168,228711
0.313,-0.095,-1.121,-4.046,-0.519,-0.290,232723
0.318,-0.095,-1.108,-4.397,-1.298,-0.229,236734
0.320,-0.096,-1.113,-4.702,-1.557,-0.351,240745
0.312,-0.095,-1.118,-4.885,-2.107,-0.565,244756
0.314,-0.088,-1.115,-4.962,-2.305,-0.565,248768
0.308,-0.089,-1.110,-4.901,-2.626,-0.489,252779
0.314,-0.087,-1.111,-5.023,-2.763,-0.611,256791
0.314,-0.089,-1.110,-4.901,-2.458,-0.504,260803
0.304,-0.086,-1.109,-4.534,-2.290,-0.366,264815
0.308,-0.087,-1.116,-4.031,-2.076,-0.198,268827
0.299,-0.081,-1.110,-3.267,-1.649,-0.260,272838
0.307,-0.081,-1.109,-2.611,-1.527,-0.031,276850
0.301,-0.083,-1.114,-2.473,-1.252,0.137,280862
0.307,-0.088,-1.111,-2.168,-0.916,-0.061,284874
0.300,-0.084,-1.106,-1.893,-0.748,0.107,288886
0.302,-0.083,-1.109,-1.832,-0.458,0.214,292907
0.302,-0.089,-1.111,-1.771,-0.229,0.153,296919
0.306,-0.090,-1.103,-1.847,-0.061,0.092,300931
0.300,-0.098,-1.105,-2.153,0.092,0.092,304943
0.311,-0.096,-1.112,-2.489,0.229,0.000,308955
0.306,-0.095,-1.115,-2.931,0.534,-0.092,312976
0.307,-0.090,-1.109,-3.389,0.748,-0.244,316988
0.310,-0.093,-1.113,-3.725,0.626,-0.519,321000
0.307,-0.099,-1.111,-3.664,0.473,-0.733,325011
0.303,-0.092,-1.121,-3.939,0.321,-0.656,329022
0.307,-0.095,-1.110,-4.168,0.153,-0.962,333033
0.312,-0.097,-1.105,-4.397,0.183,-1.099,337044
0.316,-0.094,-1.112,-4.534,-0.031,-1.069,341055
0.315,-0.099,-1.111,-4.763,0.061,-1.237,345066
0.308,-0.085,-1.122,-4.733,-0.046,-1.038,349077
0.301,-0.082,-1.108,-4.519,0.229,-1.038,353093
0.310,-0.084,-1.114,-4.198,0.366,-1.130,357104
0.313,-0.089,-1.112,-4.061,0.519,-1.084,361115
0.307,-0.088,-1.112,-3.786,0.427,-0.947,365127
0.315,-0.087,-1.116,-3.420,0.153,-1.008,369138
0.309,-0.086,-1.119,-3.282,-0.061,-1.282,373159
0.308,-0.080,-1.115,-2.763,-0.427,-1.206,377170
0.316,-0.079,-1.108,-2.519,-0.656,-1.099,381181
0.314,-0.086,-1.123,-2.183,-0.885,-1.206,385192
0.309,-0.084,-1.115,-2.000,-1.084,-1.053,389203
0.312,-0.088,-1.118,-1.710,-1.298,-1.008,393225
0.311,-0.087,-1.117,-1.817,-1.481,-1.038,397237
0.312,-0.090,-1.115,-1.481,-1.252,-1.359,401248
0.309,-0.093,-1.112,-1.252,-1.344,-1.221,405260
0.305,-0.087,-1.113,-1.145,-1.313,-1.298,409272
0.302,-0.091,-1.122,-0.901,-1.084,-1.374,413284
0.307,-0.090,-1.124,-1.313,-0.733,-1.435,417295
0.302,-0.092,-1.125,-1.084,-0.641,-1.740,421306
0.304,-0.082,-1.120,-1.267,-0.290,-1.985,425318
0.303,-0.091,-1.122,-1.527,-0.275,-1.969,429330
0.297,-0.091,-1.124,-1.740,0.122,-2.443,433342
0.299,-0.090,-1.123,-1.939,0.321,-2.595,437354
0.302,-0.092,-1.121,-1.969,0.443,-2.641,441365
0.310,-0.092,-1.122,-2.336,0.412,-2.885,445377
0.312,-0.091,-1.116,-2.580,0.214,-2.855,449389
0.312,-0.088,-1.126,-2.687,-0.137,-3.115,453401
0.322,-0.094,-1.119,-2.855,0.031,-2.931,457413
0.317,-0.087,-1.118,-2.824,-0.641,-3.084,461425
0.307,-0.079,-1.120,-2.992,-1.802,-3.176,465437
0.307,-0.085,-1.116,-2.977,-2.122,-3.374,469448
0.304,-0.082,-1.127,-2.794,-2.427,-3.160,473459
0.292,-0.084,-1.125,-2.916,-2.626,-3.282,477470
0.295,-0.082,-1.126,-2.794,-2.885,-3.389,481481
0.295,-0.082,-1.122,-2.641,-2.580,-3.344,485492
0.289,-0.084,-1.125,-2.916,-1.893,-3.267,489503
0.298,-0.083,-1.123,-2.901,-1.252,-3.405,493525
0.284,-0.080,-1.118,-2.565,-0.626,-3.115,497537
0.291,-0.077,-1.112,-2.656,-0.229,-3.053,501548
0.292,-0.081,-1.117,-2.183,0.046,-3.008,505560
0.295,-0.079,-1.118,-2.092,0.397,-2.977,509572
0.293,-0.077,-1.116,-1.771,0.595,-2.885,513593
