acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.099,-0.092,-1.113,-5.038,4.412,8.718,998143050
0.094,-0.092,-1.114,-5.206,4.748,8.855,998147076
0.103,-0.089,-1.113,-5.115,5.206,9.267,998151086
0.101,-0.089,-1.110,-5.023,5.969,9.344,998155096
0.102,-0.092,-1.111,-4.748,6.290,9.664,998159106
0.098,-0.085,-1.103,-4.504,7.176,9.481,998163116
0.099,-0.085,-1.101,-4.382,8.321,9.817,998167126
0.097,-0.088,-1.107,-4.473,9.176,9.954,998171139
0.101,-0.079,-1.109,-4.351,9.802,10.244,998175149
0.104,-0.088,-1.109,-4.504,10.473,10.290,998179159
0.108,-0.089,-1.104,-4.183,10.931,10.382,998183170
0.112,-0.091,-1.113,-4.534,11.053,10.550,998187179
0.122,-0.099,-1.109,-4.443,10.901,10.718,998191189
0.131,-0.089,-1.122,-4.427,10.870,10.794,998195200
0.134,-0.089,-1.103,-4.611,10.198,10.565,998199210
0.143,-0.094,-1.116,-4.229,9.603,10.809,998203219
0.142,-0.088,-1.118,-4.290,9.160,10.565,998207229
0.145,-0.092,-1.118,-3.878,8.641,10.824,998211239
0.150,-0.090,-1.122,-4.000,7.771,10.641,998215249
0.148,-0.088,-1.118,-4.076,7.328,10.672,998219259
0.156,-0.095,-1.125,-4.076,6.656,10.290,998223269
0.155,-0.100,-1.124,-4.687,6.168,10.000,998227279
0.159,-0.105,-1.134,-5.115,5.664,9.511,998231289
0.160,-0.103,-1.124,-5.634,5.924,9.023,998235299
0.156,-0.107,-1.124,-5.695,5.679,8.443,998239309
0.149,-0.098,-1.124,-5.679,5.573,8.290,998243320
0.158,-0.103,-1.123,-5.832,6.321,8.336,998247329
0.145,-0.103,-1.122,-5.725,6.290,8.382,998251340
0.154,-0.103,-1.121,-5.725,7.282,8.061,998255349
0.148,-0.103,-1.129,-5.939,7.542,8.137,998259359
0.153,-0.104,-1.115,-6.183,8.153,7.969,998263369
0.157,-0.094,-1.118,-6.198,8.397,8.107,998267379
0.162,-0.088,-1.121,-6.107,8.046,7.939,998271389
0.170,-0.086,-1.118,-6.076,7.756,7.908,998275398
0.176,-0.094,-1.119,-6.198,6.977,7.939,998279407
0.182,-0.092,-1.113,-6.427,5.313,7.924,998283417
0.196,-0.093,-1.123,-6.656,4.260,8.137,998287427
0.197,-0.098,-1.119,-6.824,2.305,7.740,998291438
0.195,-0.083,-1.114,-6.748,1.099,7.389,998295448
0.195,-0.094,-1.114,-6.870,-0.076,7.573,998299458
0.191,-0.094,-1.119,-7.008,-1.145,7.557,998303468
0.190,-0.087,-1.117,-7.053,-2.122,7.863,998307478
0.188,-0.083,-1.109,-6.687,-2.443,7.450,998311488
0.181,-0.084,-1.112,-6.229,-2.473,7.740,998315497
0.177,-0.084,-1.108,-5.725,-2.153,7.771,998319507
0.175,-0.082,-1.110,-5.191,-1.527,7.863,998323517
0.168,-0.080,-1.105,-4.336,-0.473,7.939,998327527
0.167,-0.083,-1.104,-4.336,0.702,7.863,998331537
0.169,-0.082,-1.100,-4.061,2.382,7.878,998335547
0.162,-0.079,-1.098,-3.389,3.649,8.000,998339556
0.164,-0.079,-1.108,-3.344,5.359,7.771,998343566
0.156,-0.078,-1.111,-3.237,6.840,7.740,998347575
0.162,-0.082,-1.115,-3.145,7.603,7.557,998351586
0.175,-0.079,-1.115,-3.282,8.794,7.206,998355595
0.170,-0.081,-1.116,-3.267,9.802,7.389,998359605
0.174,-0.082,-1.120,-3.557,10.595,6.534,998363615
0.179,-0.083,-1.113,-3.603,11.603,6.702,998367625
0.179,-0.074,-1.118,-3.908,11.298,6.947,998371635
0.180,-0.080,-1.115,-3.908,11.389,6.534,998375645
0.185,-0.085,-1.118,-4.183,10.718,6.427,998379654
0.195,-0.088,-1.116,-4.489,9.893,6.183,998383663
0.196,-0.088,-1.118,-5.069,8.458,5.878,998387673
0.191,-0.087,-1.119,-5.359,7.374,6.061,998391684
0.195,-0.079,-1.120,-6.031,6.229,5.740,998395693
0.191,-0.082,-1.114,-6.382,5.420,5.969,998399702
0.186,-0.081,-1.105,-6.855,4.244,5.588,998403712
0.179,-0.086,-1.118,-7.206,3.206,5.664,998407722
0.182,-0.082,-1.105,-7.527,2.672,5.649,998411732
0.174,-0.079,-1.104,-7.405,2.229,5.802,998415751
0.165,-0.081,-1.102,-7.588,2.305,6.092,998419760
0.153,-0.077,-1.096,-7.389,2.718,6.122,998423770
0.154,-0.070,-1.089,-7.466,3.634,6.214,998427780
0.147,-0.069,-1.098,-7.466,4.458,6.748,998431790
0.145,-0.073,-1.093,-7.206,5.267,7.084,998435799
0.152,-0.070,-1.097,-7.069,5.893,7.176,998439809
0.157,-0.076,-1.095,-6.779,6.321,7.176,998443819
0.157,-0.084,-1.092,-6.885,6.595,7.466,998447829
0.165,-0.076,-1.092,-6.870,6.870,7.420,998451839
0.156,-0.080,-1.087,-6.931,7.282,7.344,998455849
0.163,-0.078,-1.095,-6.977,7.115,7.298,998459858
0.158,-0.073,-1.091,-6.824,7.267,7.542,998463868
0.163,-0.072,-1.092,-6.718,7.115,7.313,998467877
0.157,-0.074,-1.088,-6.702,6.763,7.389,998471887
0.164,-0.075,-1.089,-6.458,6.794,7.252,998475897
0.167,-0.078,-1.091,-6.351,6.397,7.099,998479906
0.170,-0.076,-1.083,-6.321,5.832,6.931,998483916
0.169,-0.082,-1.097,-6.076,5.634,6.748,998487926
0.166,-0.069,-1.089,-5.817,5.420,6.733,998491936
0.170,-0.078,-1.100,-5.527,5.023,6.565,998495947
0.164,-0.087,-1.097,-5.191,4.870,6.580,998499956
0.165,-0.074,-1.099,-5.053,4.656,6.504,998503965
0.176,-0.076,-1.102,-4.901,4.076,6.656,998507975
0.177,-0.078,-1.104,-4.611,3.130,6.534,998511985
0.187,-0.089,-1.104,-4.580,2.107,6.565,998515994
0.192,-0.086,-1.110,-4.443,0.702,6.458,998520004
0.192,-0.091,-1.105,-4.412,-0.412,6.092,998524014
0.187,-0.087,-1.114,-4.290,-1.695,5.908,998528023
0.189,-0.097,-1.114,-4.443,-2.718,5.786,998532033
0.179,-0.090,-1.109,-4.443,-3.328,5.725,998536051
0.174,-0.091,-1.115,-4.733,-3.282,5.420,998540061
0.175,-0.090,-1.110,-4.733,-3.252,5.298,998544071
0.169,-0.090,-1.113,-4.855,-3.435,5.176,998548080
0.171,-0.089,-1.113,-5.038,-3.023,5.099,998552090
0.165,-0.086,-1.111,-4.901,-2.748,4.901,998556109
0.161,-0.091,-1.113,-4.595,-2.107,4.550,998560120
0.155,-0.083,-1.116,-4.489,-1.542,4.305,998564129
0.155,-0.083,-1.119,-4.443,-1.069,4.260,998568138
0.156,-0.091,-1.119,-4.504,-0.519,4.015,998572148
0.155,-0.088,-1.114,-4.076,0.061,4.061,998576160
0.155,-0.094,-1.112,-3.939,1.069,4.382,998580170
0.152,-0.088,-1.116,-3.679,1.420,4.137,998584180
0.155,-0.090,-1.116,-3.496,2.168,4.015,998588191
0.161,-0.091,-1.129,-3.481,2.458,4.275,998592200
0.166,-0.090,-1.117,-3.756,2.305,3.969,998596211
0.159,-0.092,-1.125,-3.557,2.977,4.015,998600220
0.160,-0.091,-1.126,-3.664,2.748,4.046,998604230
0.156,-0.094,-1.121,-3.557,2.763,3.969,998608240
0.162,-0.093,-1.119,-3.649,2.687,3.939,998612250
0.158,-0.093,-1.119,-3.771,2.748,3.954,998616269
0.157,-0.094,-1.115,-4.137,2.748,3.924,998620278
0.160,-0.097,-1.117,-4.382,2.809,3.740,998624288
0.160,-0.095,-1.115,-4.870,2.840,4.031,998628298
0.158,-0.092,-1.120,-4.870,2.916,4.260,998632308
0.158,-0.097,-1.115,-4.794,2.702,4.458,998636328
0.163,-0.088,-1.113,-4.824,2.626,4.489,998640337
0.163,-0.098,-1.121,-4.427,2.427,4.702,998644346
0.164,-0.087,-1.120,-4.321,2.305,4.870,998648356
0.156,-0.085,-1.105,-4.412,2.198,5.176,998652366
0.153,-0.083,-1.116,-4.275,2.290,5.603,998656385
0.152,-0.092,-1.112,-3.969,2.672,5.542,998660395
0.153,-0.088,-1.111,-3.863,3.160,5.557,998664404
0.156,-0.091,-1.114,-3.786,3.267,5.756,998668413
0.149,-0.092,-1.109,-3.588,3.756,5.679,998672423
0.149,-0.088,-1.110,-3.450,4.702,5.924,998676433
0.149,-0.086,-1.106,-3.710,5.282,5.786,998680443
0.148,-0.091,-1.105,-3.420,6.382,5.969,998684453
0.149,-0.090,-1.107,-3.664,7.267,5.954,998688464
0.152,-0.092,-1.105,-3.603,8.260,5.878,998692473
0.151,-0.090,-1.110,-3.557,8.947,6.031,998696483
0.159,-0.086,-1.105,-3.557,9.374,5.924,998700494
0.161,-0.093,-1.118,-3.634,9.466,5.603,998704503
0.165,-0.100,-1.112,-4.061,9.649,5.618,998708512
0.173,-0.104,-1.120,-4.534,9.634,5.817,998712522
0.174,-0.101,-1.118,-4.794,9.405,5.695,998716532
0.187,-0.097,-1.116,-5.130,9.237,5.008,998720542
0.179,-0.098,-1.115,-5.099,8.855,4.885,998724552
0.181,-0.095,-1.116,-5.267,8.748,4.672,998728561
0.181,-0.097,-1.115,-5.008,8.824,4.687,998732571
0.181,-0.097,-1.121,-5.206,8.244,4.305,998736580
0.186,-0.092,-1.118,-5.389,8.427,3.954,998740590
0.188,-0.094,-1.125,-5.359,8.412,3.832,998744600
0.181,-0.092,-1.117,-5.160,8.351,3.893,998748609
0.188,-0.085,-1.114,-4.870,8.244,3.344,998752619
0.183,-0.088,-1.121,-5.038,7.466,3.206,998756628
0.184,-0.094,-1.108,-5.206,6.351,2.824,998760638
0.195,-0.094,-1.118,-5.099,5.328,2.992,998764648
0.197,-0.092,-1.112,-5.069,3.939,2.534,998768658
0.194,-0.093,-1.112,-5.389,2.809,2.397,998772668
0.186,-0.091,-1.117,-5.603,1.527,2.382,998776688
0.189,-0.091,-1.116,-5.985,0.275,2.473,998780697
0.173,-0.092,-1.124,-6.122,-1.313,2.275,998784706
0.174,-0.099,-1.120,-6.443,-2.336,2.229,998788716
0.173,-0.096,-1.124,-6.473,-3.573,2.779,998792726
0.174,-0.091,-1.114,-6.718,-4.168,2.748,998796746
0.173,-0.097,-1.119,-6.718,-4.763,2.931,998800758
0.157,-0.086,-1.110,-6.458,-5.008,3.389,998804769
0.151,-0.088,-1.116,-6.137,-4.748,3.786,998808779
0.145,-0.084,-1.106,-5.924,-4.198,4.122,998812788
0.137,-0.090,-1.112,-5.328,-3.069,4.687,998816801
0.138,-0.090,-1.104,-5.145,-2.046,5.130,998820810
0.132,-0.091,-1.111,-4.672,-0.702,5.740,998824821
0.129,-0.084,-1.104,-4.595,0.794,6.015,998828830
0.129,-0.081,-1.111,-4.153,2.046,6.656,998832840
0.134,-0.089,-1.106,-3.832,3.298,7.038,998836849
0.141,-0.088,-1.101,-3.771,4.336,7.420,998840858
0.143,-0.089,-1.109,-3.450,5.298,7.679,998844869
0.146,-0.093,-1.107,-3.634,5.695,7.588,998848878
0.154,-0.087,-1.107,-3.435,6.122,8.473,998852888
0.168,-0.095,-1.113,-3.176,6.336,8.733,998856897
0.176,-0.090,-1.117,-3.298,5.771,8.427,998860907
0.175,-0.098,-1.126,-3.832,5.542,8.305,998864917
0.188,-0.102,-1.127,-4.290,4.534,8.168,998868927
0.194,-0.104,-1.124,-4.809,3.496,8.321,998872937
0.187,-0.102,-1.114,-5.267,2.458,8.092,998876955
0.196,-0.103,-1.111,-5.542,1.588,8.214,998880967
0.193,-0.102,-1.112,-5.802,1.298,8.122,998884976
0.189,-0.104,-1.115,-5.969,0.733,7.985,998888985
0.185,-0.094,-1.104,-6.397,0.656,7.863,998892995
0.180,-0.091,-1.102,-6.534,0.763,7.878,998897005
0.177,-0.092,-1.104,-6.305,0.687,7.908,998901015
0.172,-0.087,-1.099,-6.321,1.115,7.985,998905025
0.178,-0.091,-1.099,-6.046,1.817,7.817,998909035
0.170,-0.088,-1.100,-5.969,1.954,8.046,998913045
0.168,-0.090,-1.093,-5.450,2.504,8.061,998917055
0.173,-0.100,-1.096,-5.557,3.191,8.046,998921066
0.173,-0.088,-1.094,-5.450,3.725,8.137,998925075
0.181,-0.086,-1.100,-5.313,4.275,7.969,998929084
0.176,-0.088,-1.110,-5.084,4.611,7.191,998933094
0.181,-0.093,-1.095,-5.374,4.794,7.053,998937103
0.174,-0.096,-1.103,-5.023,4.519,7.740,998941114
0.182,-0.091,-1.107,-5.130,4.183,7.985,998945124
0.191,-0.090,-1.117,-5.328,3.267,7.847,998949133
0.196,-0.099,-1.117,-5.771,2.198,7.771,998953143
0.202,-0.102,-1.113,-5.786,1.267,7.374,998957153
0.205,-0.099,-1.114,-6.015,0.336,7.328,998961160
0.202,-0.100,-1.115,-5.969,-0.611,7.298,998965169
0.194,-0.093,-1.116,-6.015,-1.420,7.450,998969178
0.190,-0.093,-1.105,-6.458,-1.496,7.099,998973187
0.184,-0.091,-1.107,-6.687,-1.557,7.298,998977197
0.176,-0.087,-1.105,-6.824,-1.221,7.053,998981207
0.178,-0.091,-1.110,-6.885,-0.962,7.206,998985218
0.173,-0.084,-1.110,-6.565,-0.840,7.298,998989227
0.177,-0.086,-1.098,-6.458,-0.412,7.588,998993236
0.176,-0.088,-1.107,-6.214,-0.015,7.450,998997245
0.180,-0.087,-1.097,-6.046,0.519,7.481,999001255
0.175,-0.093,-1.096,-5.847,0.870,7.695,999005265
0.171,-0.082,-1.093,-5.924,1.496,7.847,999009275
0.172,-0.085,-1.093,-5.679,1.557,7.740,999013285
0.175,-0.086,-1.100,-5.679,1.863,7.924,999017294
0.183,-0.088,-1.096,-5.756,1.191,7.847,999021305
0.189,-0.094,-1.099,-5.679,0.595,7.344,999025315
0.200,-0.097,-1.103,-5.908,0.015,7.206,999029325
0.198,-0.098,-1.105,-5.817,-1.099,7.527,999033335
0.192,-0.097,-1.109,-5.527,-1.664,7.603,999037345
0.191,-0.103,-1.112,-5.481,-2.382,7.344,999041355
0.183,-0.102,-1.111,-5.206,-2.611,7.328,999045365
0.175,-0.092,-1.107,-5.359,-2.458,7.420,999049375
0.172,-0.097,-1.106,-5.130,-2.229,7.420,999053385
0.167,-0.096,-1.114,-5.252,-1.344,7.588,999057395
0.162,-0.100,-1.105,-5.573,-0.763,7.664,999061405
0.168,-0.095,-1.107,-5.649,0.000,7.985,999065416
0.170,-0.101,-1.103,-5.420,0.687,7.954,999069426
0.163,-0.102,-1.108,-5.435,1.924,7.863,999073435
0.167,-0.099,-1.103,-5.359,2.504,8.061,999077445
0.166,-0.100,-1.107,-5.145,3.328,8.153,999081455
0.170,-0.096,-1.101,-4.916,3.725,8.198,999085464
0.175,-0.100,-1.107,-5.115,3.802,8.214,999089474
0.177,-0.100,-1.107,-4.916,3.511,8.046,999093484
0.178,-0.097,-1.110,-5.206,3.542,7.924,999097494
0.182,-0.097,-1.106,-5.191,2.901,7.863,999101503
0.188,-0.106,-1.112,-5.130,2.580,7.710,999105513
0.195,-0.103,-1.106,-5.695,1.756,7.450,999109523
0.191,-0.104,-1.113,-5.878,0.824,7.817,999113533
0.187,-0.111,-1.112,-6.061,0.611,7.542,999117543
0.202,-0.109,-1.112,-6.641,-0.153,7.420,999121553
0.193,-0.100,-1.101,-6.687,-0.748,7.267,999125563
0.189,-0.115,-1.106,-6.794,-1.145,7.176,999129573
0.184,-0.108,-1.102,-6.809,-1.069,7.282,999133584
0.184,-0.102,-1.101,-6.595,-0.794,6.916,999137593
0.170,-0.099,-1.099,-6.824,-0.198,6.977,999141599
0.168,-0.098,-1.098,-6.626,-0.046,6.947,999145608
0.170,-0.091,-1.105,-6.244,0.641,6.885,999149618
0.171,-0.100,-1.112,-6.076,1.298,6.534,999153628
0.177,-0.095,-1.096,-5.725,1.557,6.870,999157638
0.175,-0.101,-1.099,-4.794,1.710,6.916,999161648
0.170,-0.102,-1.101,-4.473,2.137,6.901,999165658
0.172,-0.104,-1.100,-4.427,2.580,6.763,999169668
0.168,-0.099,-1.107,-4.611,2.672,6.992,999173677
0.172,-0.101,-1.098,-4.519,2.763,7.344,999177687
0.166,-0.107,-1.107,-4.443,2.733,7.130,999181698
0.166,-0.111,-1.099,-4.534,2.977,7.252,999185718
0.177,-0.111,-1.099,-4.672,3.176,7.130,999189727
0.178,-0.107,-1.100,-4.748,2.794,6.916,999193736
0.193,-0.110,-1.106,-4.977,2.015,6.901,999197746
0.183,-0.109,-1.101,-5.053,1.863,6.702,999201756
0.185,-0.107,-1.099,-5.298,1.282,7.053,999205767
0.187,-0.108,-1.097,-5.160,0.794,6.595,999209776
0.191,-0.108,-1.106,-5.038,0.489,6.443,999213785
0.184,-0.111,-1.101,-5.115,0.214,6.504,999217795
0.183,-0.107,-1.101,-4.916,-0.122,6.611,999221802
0.181,-0.108,-1.103,-4.901,-0.015,6.351,999225812
0.176,-0.108,-1.104,-4.885,0.015,6.351,999229821
0.172,-0.101,-1.101,-4.855,0.580,6.214,999233830
0.166,-0.106,-1.103,-4.763,0.351,6.366,999237840
0.167,-0.107,-1.104,-4.427,1.298,6.290,999241849
0.167,-0.105,-1.100,-4.534,1.695,6.504,999245859
0.164,-0.105,-1.088,-4.153,2.000,6.412,999249869
0.164,-0.112,-1.099,-4.153,2.443,6.550,999253879
0.162,-0.105,-1.096,-4.183,3.420,5.740,999257889
0.171,-0.102,-1.095,-4.550,3.466,5.939,999261899
0.160,-0.101,-1.099,-4.031,3.878,6.489,999265909
0.167,-0.105,-1.094,-3.542,4.489,6.504,999269919
0.166,-0.103,-1.094,-3.252,4.672,6.458,999273929
0.173,-0.103,-1.097,-2.947,4.366,6.168,999277939
0.180,-0.109,-1.097,-2.885,3.695,6.229,999281949
0.189,-0.115,-1.099,-2.672,2.916,6.214,999285960
0.187,-0.113,-1.110,-2.947,1.786,5.893,999289970
0.200,-0.116,-1.120,-3.130,0.489,5.511,999293980
0.201,-0.131,-1.119,-3.405,-0.061,5.603,999297990
0.195,-0.114,-1.108,-3.634,-0.992,5.069,999302000
0.186,-0.115,-1.113,-3.954,-1.573,5.221,999306020
0.182,-0.113,-1.116,-4.244,-1.496,4.809,999310030
0.173,-0.108,-1.118,-4.321,-1.389,4.733,999314040
0.174,-0.102,-1.100,-4.595,-0.855,4.870,999318050
0.166,-0.102,-1.106,-4.611,-0.626,5.130,999322059
0.161,-0.103,-1.107,-4.305,0.015,4.733,999326079
0.163,-0.102,-1.101,-4.473,0.992,4.916,999330089
0.152,-0.094,-1.100,-4.336,1.786,5.023,999334100
0.144,-0.095,-1.101,-4.427,2.885,4.977,999338109
0.152,-0.087,-1.096,-4.336,3.618,5.115,999342119
0.147,-0.086,-1.107,-4.443,4.443,5.252,999346135
0.155,-0.087,-1.105,-4.061,4.794,5.450,999350145
0.155,-0.082,-1.107,-4.229,4.962,5.756,999354156
0.154,-0.091,-1.103,-4.137,5.023,5.664,999358165
0.156,-0.088,-1.100,-4.153,4.702,5.832,999362174
0.154,-0.093,-1.102,-4.015,4.534,5.878,999366184
0.157,-0.092,-1.098,-3.817,4.244,5.939,999370193
0.159,-0.083,-1.102,-3.511,3.969,6.382,999374202
0.154,-0.080,-1.106,-3.053,3.802,6.687,999378212
0.159,-0.093,-1.101,-2.702,3.237,6.916,999382222
0.161,-0.098,-1.115,-2.779,2.565,7.099,999386231
0.174,-0.108,-1.114,-2.840,1.924,6.947,999390241
0.171,-0.109,-1.110,-3.053,1.099,7.038,999394251
0.173,-0.112,-1.121,-3.206,0.947,6.977,999398261
0.168,-0.109,-1.119,-3.359,0.656,7.053,999402271
0.154,-0.112,-1.112,-3.389,0.718,6.947,999406290
0.156,-0.104,-1.120,-3.435,1.038,7.176,999410300
0.155,-0.106,-1.120,-3.450,1.084,7.389,999414310
0.160,-0.103,-1.118,-3.954,1.496,6.977,999418320
0.170,-0.108,-1.120,-4.183,1.420,6.962,999422330
0.163,-0.107,-1.116,-4.458,1.374,6.794,999426350
0.162,-0.111,-1.118,-4.534,2.000,6.565,999430360
0.160,-0.103,-1.114,-4.458,2.351,6.626,999434370
0.159,-0.104,-1.119,-4.412,2.519,6.382,999438380
0.159,-0.105,-1.122,-4.305,2.855,6.519,999442389
0.157,-0.100,-1.118,-4.397,3.527,6.366,999446406
0.155,-0.098,-1.114,-4.305,3.847,6.321,999450416
0.160,-0.098,-1.120,-4.382,4.107,6.214,999454427
0.156,-0.100,-1.119,-4.565,4.321,6.290,999458436
0.161,-0.104,-1.121,-4.504,4.321,6.290,999462445
0.168,-0.101,-1.103,-4.321,4.672,6.153,999466455
0.163,-0.104,-1.108,-4.260,4.656,6.031,999470466
0.159,-0.100,-1.120,-4.107,4.840,6.229,999474475
0.157,-0.108,-1.117,-4.015,5.221,6.427,999478484
0.153,-0.099,-1.111,-4.015,5.481,6.763,999482494
0.147,-0.102,-1.110,-4.015,5.252,5.863,999486504
0.162,-0.094,-1.102,-4.015,4.702,6.931,999490513
0.166,-0.103,-1.110,-3.450,4.489,7.176,999494523
0.170,-0.105,-1.117,-3.267,3.893,6.931,999498533
0.183,-0.114,-1.115,-3.450,2.763,7.023,999502543
0.184,-0.111,-1.120,-3.832,1.588,6.733,999506552
0.180,-0.116,-1.117,-4.366,0.519,6.565,999510562
0.184,-0.118,-1.118,-4.809,-0.611,6.458,999514573
0.179,-0.115,-1.111,-5.237,-1.206,6.275,999518582
0.170,-0.110,-1.115,-5.298,-1.863,6.290,999522592
0.169,-0.108,-1.112,-5.267,-1.924,6.015,999526603
0.165,-0.107,-1.109,-5.267,-2.183,6.076,999530612
0.155,-0.104,-1.109,-5.160,-1.695,6.244,999534621
0.156,-0.100,-1.114,-5.267,-1.191,6.214,999538631
0.157,-0.104,-1.114,-5.420,-0.595,6.427,999542641
0.147,-0.107,-1.111,-5.435,0.153,6.412,999546660
0.146,-0.109,-1.107,-5.725,1.298,6.656,999550670
