acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.237,-0.069,-1.084,-6.214,-0.840,-1.603,611313065
0.243,-0.075,-1.089,-6.214,-0.794,-1.649,611317096
0.234,-0.070,-1.083,-6.244,-0.855,-1.435,611321106
0.233,-0.070,-1.095,-5.893,-0.641,-1.053,611325116
0.222,-0.064,-1.083,-5.527,-0.137,-1.160,611329125
0.229,-0.063,-1.082,-5.450,0.489,-0.824,611333134
0.225,-0.071,-1.084,-5.008,1.603,-0.626,611337144
0.223,-0.062,-1.081,-4.473,2.229,-0.519,611341155
0.231,-0.062,-1.087,-4.305,2.748,-0.214,611345164
0.235,-0.062,-1.079,-3.679,3.908,-0.382,611349173
0.231,-0.064,-1.082,-3.634,4.748,-0.412,611353183
0.239,-0.068,-1.091,-3.160,5.527,-0.137,611357193
0.236,-0.059,-1.085,-3.191,5.634,-0.427,611361203
0.241,-0.065,-1.086,-3.191,5.221,-0.412,611365213
0.242,-0.067,-1.088,-3.267,4.397,-0.916,611369223
0.252,-0.073,-1.084,-3.740,3.496,-1.130,611373233
0.270,-0.075,-1.093,-4.305,2.595,-1.710,611377243
0.262,-0.084,-1.097,-4.626,1.527,-1.969,611381253
0.262,-0.077,-1.099,-5.130,0.275,-2.122,611385263
0.260,-0.079,-1.101,-5.405,-1.038,-2.382,611389273
0.255,-0.078,-1.089,-5.450,-2.229,-2.260,611393283
0.245,-0.078,-1.091,-5.221,-2.489,-2.092,611397292
0.242,-0.068,-1.102,-5.252,-2.718,-2.092,611401303
0.237,-0.075,-1.092,-4.992,-2.305,-1.771,611405314
0.225,-0.075,-1.087,-4.779,-1.725,-1.496,611409324
0.219,-0.073,-1.097,-4.382,-0.672,-1.160,611413333
0.216,-0.071,-1.098,-4.137,0.229,-0.840,611417343
0.208,-0.067,-1.089,-3.847,1.496,-0.504,611421353
0.216,-0.067,-1.097,-3.344,2.855,-0.321,611425363
0.225,-0.065,-1.088,-3.252,3.786,-0.183,611429372
0.220,-0.068,-1.097,-2.794,4.748,-0.198,611433382
0.230,-0.066,-1.098,-2.794,5.527,-0.092,611437392
0.228,-0.061,-1.100,-2.656,6.000,0.137,611441402
0.231,-0.066,-1.096,-2.427,6.504,0.107,611445411
0.239,-0.066,-1.102,-1.756,6.718,0.336,611449421
0.234,-0.067,-1.108,-1.679,6.824,0.458,611453431
0.238,-0.065,-1.106,-1.145,6.626,0.534,611457441
0.238,-0.069,-1.101,-1.053,6.061,0.519,611461451
0.243,-0.074,-1.109,-1.008,5.328,0.305,611465460
0.248,-0.073,-1.108,-1.573,4.519,-0.031,611469469
0.252,-0.081,-1.111,-1.618,4.015,-0.153,611473478
0.250,-0.074,-1.118,-1.924,3.206,-0.458,611477488
0.250,-0.077,-1.111,-2.076,2.809,-0.595,611481498
0.247,-0.082,-1.118,-2.656,1.710,-1.008,611485507
0.251,-0.085,-1.114,-2.901,0.534,-1.023,611489517
0.249,-0.090,-1.121,-3.847,-0.611,-1.328,611493527
0.254,-0.094,-1.120,-4.427,-0.931,-1.405,611497537
0.255,-0.093,-1.124,-5.023,-1.634,-1.863,611501546
0.250,-0.087,-1.122,-5.282,-1.374,-1.908,611505556
0.237,-0.078,-1.109,-5.344,-1.145,-1.893,611509565
0.232,-0.081,-1.123,-5.298,-0.824,-1.893,611513574
0.224,-0.075,-1.117,-5.099,-0.305,-1.908,611517584
0.227,-0.074,-1.118,-4.962,0.672,-1.634,611521595
0.224,-0.069,-1.121,-4.489,1.573,-1.588,611525606
0.224,-0.067,-1.116,-4.351,2.290,-1.481,611529615
0.221,-0.064,-1.112,-4.046,3.206,-1.710,611533624
0.229,-0.064,-1.127,-3.511,3.771,-1.282,611537634
0.223,-0.061,-1.131,-2.962,4.290,-1.130,611541643
0.231,-0.064,-1.126,-2.641,4.641,-0.901,611545653
0.233,-0.065,-1.127,-2.305,5.328,-0.626,611549663
0.232,-0.063,-1.132,-2.229,5.710,-0.489,611553673
0.233,-0.068,-1.142,-2.275,6.122,-0.382,611557683
0.227,-0.070,-1.150,-1.924,6.183,-0.321,611561693
0.233,-0.068,-1.143,-1.954,6.611,-0.321,611565713
0.233,-0.066,-1.148,-1.557,6.336,-0.260,611569723
0.243,-0.067,-1.154,-1.435,5.924,-0.519,611573733
0.246,-0.068,-1.152,-1.557,5.725,-0.626,611577743
0.249,-0.071,-1.148,-1.817,4.855,-1.221,611581753
0.253,-0.063,-1.168,-2.000,4.244,-1.328,611585770
0.260,-0.064,-1.169,-2.443,3.405,-2.015,611589780
0.263,-0.062,-1.171,-2.855,2.748,-2.580,611593790
0.265,-0.071,-1.178,-3.237,2.092,-3.069,611597800
0.262,-0.062,-1.177,-3.466,1.145,-3.588,611601810
0.253,-0.055,-1.193,-3.664,0.107,-4.046,611605820
0.256,-0.054,-1.194,-4.107,-0.290,-4.336,611609830
0.249,-0.056,-1.197,-4.137,-0.824,-4.473,611613841
0.245,-0.056,-1.203,-4.046,-0.992,-4.824,611617850
0.233,-0.044,-1.198,-3.603,-0.718,-4.733,611621860
0.230,-0.049,-1.207,-3.298,0.061,-4.855,611625870
0.226,-0.050,-1.205,-3.191,0.916,-4.947,611629880
0.221,-0.054,-1.207,-3.221,1.466,-4.702,611633890
0.220,-0.057,-1.211,-3.282,2.244,-4.534,611637900
0.211,-0.060,-1.218,-3.450,2.962,-4.595,611641910
0.221,-0.059,-1.201,-3.420,3.740,-5.145,611645919
0.207,-0.053,-1.208,-3.450,4.595,-4.977,611649929
0.201,-0.052,-1.213,-3.649,5.450,-4.947,611653939
0.207,-0.054,-1.217,-4.183,6.565,-5.954,611657948
0.202,-0.060,-1.208,-4.519,7.176,-6.260,611661959
0.191,-0.070,-1.211,-6.229,7.420,-3.053,611665968
