acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.10,-0.00,-1.12,-5.28,8.21,1.08
0.09,-0.01,-1.12,-6.49,7.97,0.11
0.10,-0.00,-1.13,-7.51,7.39,-0.41
0.09,0.00,-1.13,-8.32,6.81,-0.76
0.09,-0.00,-1.13,-8.95,5.91,-1.07
0.09,0.01,-1.11,-8.96,4.52,-1.40
0.08,0.01,-1.11,-9.07,3.53,-1.62
0.09,0.02,-1.12,-8.44,2.58,-1.77
0.08,0.02,-1.11,-8.29,1.57,-1.76
0.08,0.02,-1.10,-7.24,0.87,-1.54
0.08,0.02,-1.11,-6.20,0.34,-0.90
0.08,0.02,-1.10,-5.31,0.06,-0.08
0.09,0.02,-1.11,-4.23,-0.52,0.24
0.09,0.02,-1.11,-3.34,-0.61,0.47
0.07,0.01,-1.12,-2.66,-1.01,1.13
0.08,0.01,-1.12,-2.32,-1.31,1.62
0.09,0.01,-1.12,-1.91,-1.33,1.25
0.08,-0.00,-1.13,-1.98,-1.85,1.33
0.08,0.01,-1.14,-2.46,-3.01,1.13
0.08,0.00,-1.14,-3.05,-3.54,1.77
0.09,-0.00,-1.15,-4.02,-3.97,2.21
0.09,-0.00,-1.14,-4.64,-3.85,2.60
0.08,-0.00,-1.15,-5.44,-3.94,2.67
0.08,-0.01,-1.15,-6.26,-3.34,2.47
0.06,-0.01,-1.14,-7.24,-2.43,1.73
0.06,-0.00,-1.15,-7.77,-1.22,1.44
0.06,0.00,-1.14,-7.79,-0.03,1.27
0.07,0.00,-1.14,-7.42,1.42,1.10
0.07,0.01,-1.13,-6.96,2.56,0.75
0.07,0.01,-1.13,-6.20,3.60,0.49
0.08,0.02,-1.12,-5.39,4.03,0.26
0.08,0.01,-1.12,-5.04,4.29,0.02
0.09,-0.00,-1.11,-4.58,4.38,-0.60
0.09,-0.01,-1.12,-4.49,3.60,-0.47
0.09,-0.01,-1.13,-4.52,2.99,0.05
0.09,-0.01,-1.13,-4.37,2.00,0.82
0.10,0.00,-1.13,-4.34,1.07,1.63
0.10,0.01,-1.12,-3.86,0.24,1.83
0.09,-0.00,-1.12,-3.45,-0.24,1.18
0.08,-0.01,-1.11,-3.47,0.00,0.75
0.07,-0.01,-1.11,-3.25,0.43,0.03
0.07,-0.01,-1.11,-3.68,1.22,-0.81
0.07,-0.00,-1.11,-3.89,1.50,-1.16
0.06,-0.01,-1.12,-4.32,2.15,-1.22
0.07,-0.01,-1.11,-4.82,2.52,-1.54
0.08,-0.02,-1.13,-5.76,2.38,-1.83
0.08,-0.02,-1.14,-7.02,1.62,-1.51
0.08,-0.01,-1.14,-7.63,0.90,-0.98
0.08,0.01,-1.13,-7.13,-0.09,0.14
0.07,0.02,-1.12,-5.79,-0.50,1.36
0.07,0.02,-1.12,-4.90,-0.85,1.92
0.07,0.01,-1.11,-4.24,-0.84,2.00
0.08,0.00,-1.11,-3.86,-0.82,1.54
0.07,-0.00,-1.10,-3.88,-0.02,1.01
0.07,-0.01,-1.10,-4.09,0.82,0.78
0.08,-0.01,-1.11,-4.31,1.62,0.46
0.07,-0.00,-1.10,-4.40,2.40,0.75
0.09,-0.01,-1.11,-4.61,2.55,0.50
0.08,-0.02,-1.10,-4.93,2.70,0.26
0.09,-0.01,-1.10,-5.30,2.41,-0.15
0.09,-0.00,-1.10,-5.10,2.06,-0.12
0.09,0.00,-1.10,-5.04,1.53,0.08
0.09,0.01,-1.11,-4.99,1.33,0.11
0.08,0.00,-1.10,-4.90,1.10,0.26
0.08,0.00,-1.10,-4.60,0.87,-0.02
0.07,0.00,-1.09,-4.18,0.47,-0.06
0.07,0.01,-1.11,-3.37,0.72,-0.11
0.07,0.01,-1.11,-2.70,0.50,0.35
0.07,0.00,-1.10,-2.17,0.73,0.92
0.07,-0.00,-1.11,-1.68,0.84,1.05
0.07,-0.01,-1.11,-1.69,1.07,1.18
0.07,-0.00,-1.12,-1.68,1.24,1.48
0.08,-0.00,-1.13,-1.79,1.27,1.42
0.07,0.00,-1.14,-1.71,1.07,2.02
0.08,0.01,-1.13,-1.11,0.60,2.73
0.08,0.00,-1.13,-0.79,0.44,3.05
0.09,-0.00,-1.13,-0.24,0.03,3.07
0.09,-0.01,-1.12,-0.29,-0.03,2.72
0.09,-0.02,-1.14,-1.02,0.02,2.05
0.09,-0.03,-1.13,-1.95,0.47,1.69
0.09,-0.03,-1.14,-3.11,1.01,0.95
0.09,-0.03,-1.14,-4.41,1.44,0.73
0.09,-0.03,-1.14,-5.56,1.63,0.55
0.10,-0.02,-1.14,-6.26,1.31,0.44
0.10,-0.01,-1.14,-6.32,1.40,0.24
0.11,-0.01,-1.13,-5.89,0.72,0.53
0.11,-0.00,-1.12,-5.47,-0.15,0.18
0.11,-0.00,-1.12,-4.61,-0.40,-0.26
0.11,0.00,-1.12,-3.95,-0.87,-0.73
0.10,-0.00,-1.11,-3.57,-0.73,-1.10
0.08,-0.01,-1.12,-3.44,-0.66,-0.87
0.07,-0.01,-1.14,-3.68,-0.43,-0.60
0.07,-0.02,-1.14,-3.91,0.89,0.02
0.07,-0.02,-1.13,-4.92,2.03,0.08
0.06,-0.02,-1.14,-5.45,3.05,0.06
0.06,-0.00,-1.12,-5.40,3.95,-0.24
0.07,0.01,-1.12,-4.55,4.66,-0.55
0.07,0.01,-1.13,-3.66,5.34,-0.64
0.08,0.01,-1.13,-3.01,5.65,-0.85
0.09,0.00,-1.12,-2.32,5.62,-0.82
0.08,-0.00,-1.11,-2.03,5.39,-0.82
0.08,-0.01,-1.13,-2.23,4.98,-0.60
0.09,-0.01,-1.12,-2.69,3.88,-0.47
0.09,-0.01,-1.13,-3.28,3.65,0.17
0.09,-0.01,-1.14,-3.68,2.75,0.34
0.09,-0.01,-1.13,-3.94,2.63,0.38
0.09,-0.01,-1.13,-3.86,2.55,0.12
0.09,-0.00,-1.13,-3.76,2.26,-0.35
0.09,-0.00,-1.14,-3.33,2.18,-0.61
0.10,-0.00,-1.13,-2.89,2.05,-1.05
0.09,0.00,-1.14,-2.05,1.74,-1.25
0.10,-0.01,-1.13,-1.63,1.11,-1.11
0.10,-0.01,-1.14,-1.66,0.56,-1.39
0.10,-0.01,-1.15,-2.17,0.00,-1.60
0.10,-0.02,-1.16,-2.69,-0.34,-1.97
0.10,-0.02,-1.17,-3.65,-0.53,-2.03
0.09,-0.02,-1.17,-4.61,-0.35,-2.00
0.08,-0.01,-1.16,-5.36,-0.18,-1.69
0.08,-0.00,-1.16,-5.51,0.15,-1.40
0.08,0.01,-1.16,-5.15,0.55,-1.18
