acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.278,-0.000,-1.103,-1.328,0.870,-0.351,0
0.278,-0.015,-1.110,-1.527,0.519,-0.183,4048
0.286,-0.009,-1.120,-1.985,0.122,0.183,8060
0.283,-0.015,-1.118,-2.122,-0.031,0.244,12071
0.282,-0.017,-1.118,-2.382,-0.565,-0.076,16082
0.290,-0.009,-1.115,-2.519,-0.565,-0.198,20093
0.287,-0.001,-1.112,-2.931,-0.840,-0.550,24104
0.286,0.002,-1.111,-3.130,-1.053,-0.840,28114
0.286,-0.005,-1.113,-3.160,-1.053,-1.206,32125
0.279,-0.001,-1.112,-3.344,-1.145,-1.542,36136
0.267,-0.008,-1.108,-3.527,-0.672,-1.328,40147
0.262,-0.009,-1.115,-4.046,-0.779,-1.099,44158
0.259,-0.007,-1.114,-4.794,-0.580,-0.916,48169
0.262,-0.017,-1.111,-5.359,-0.321,-0.382,52180
0.262,-0.005,-1.120,-5.496,-0.321,-0.046,56191
0.250,-0.001,-1.114,-5.756,-0.443,0.412,60202
0.261,-0.001,-1.120,-6.214,-0.275,1.038,64213
0.251,0.003,-1.109,-6.534,-0.198,1.481,68225
0.253,0.009,-1.114,-6.702,-0.046,1.924,72236
0.247,0.009,-1.113,-6.565,-0.107,2.000,76247
0.257,0.015,-1.113,-6.427,0.076,1.893,80258
0.250,0.020,-1.112,-5.725,0.763,1.924,84269
0.251,0.019,-1.107,-5.176,1.176,1.893,88281
0.243,0.022,-1.106,-4.763,2.031,2.122,92293
0.249,0.016,-1.107,-4.122,2.580,2.198,96303
0.245,0.019,-1.102,-3.771,3.298,2.473,100314
0.252,0.015,-1.099,-3.878,4.015,2.519,104326
0.257,0.014,-1.107,-3.893,4.580,2.443,108337
0.265,-0.002,-1.100,-4.015,4.626,2.565,112348
0.269,-0.002,-1.102,-4.397,4.824,2.870,116359
0.274,-0.008,-1.101,-4.885,4.473,3.130,120370
0.279,-0.013,-1.102,-5.481,3.939,3.328,124381
0.281,-0.011,-1.111,-5.893,3.176,3.466,128392
0.283,-0.011,-1.102,-6.336,2.626,3.664,132404
0.285,-0.004,-1.102,-6.595,1.802,3.710,136415
