acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.274,-0.099,-1.096,-3.176,2.076,-0.748,1315126744
0.268,-0.093,-1.092,-3.832,2.641,-0.687,1315130788
0.268,-0.098,-1.097,-4.275,3.221,-0.550,1315134802
0.268,-0.100,-1.092,-4.672,3.649,-0.794,1315138813
0.272,-0.100,-1.105,-4.534,3.832,-0.947,1315142824
0.273,-0.099,-1.094,-4.504,4.351,-0.840,1315146835
0.274,-0.095,-1.097,-4.412,4.473,-0.687,1315150846
0.285,-0.086,-1.101,-4.641,4.641,-0.519,1315154857
0.291,-0.087,-1.096,-5.176,4.534,-0.351,1315158869
0.288,-0.085,-1.092,-5.588,4.519,-0.092,1315162880
0.291,-0.082,-1.091,-5.298,4.290,0.351,1315166892
0.286,-0.086,-1.081,-4.733,3.588,0.275,1315170903
0.291,-0.085,-1.080,-4.046,3.313,0.443,1315174915
0.286,-0.080,-1.075,-3.557,2.855,0.931,1315178926
0.295,-0.080,-1.078,-3.328,2.733,0.992,1315182937
0.298,-0.090,-1.084,-3.328,1.893,1.130,1315186949
0.297,-0.087,-1.092,-3.588,1.466,1.267,1315190960
0.300,-0.091,-1.078,-3.313,1.221,1.221,1315194971
0.306,-0.087,-1.087,-3.099,0.763,1.145,1315198982
0.294,-0.091,-1.087,-2.641,0.321,1.237,1315202993
0.300,-0.097,-1.090,-2.397,-0.031,1.023,1315207005
0.294,-0.103,-1.088,-2.656,-0.168,0.870,1315211016
0.302,-0.095,-1.096,-3.405,-0.427,0.855,1315215028
0.304,-0.099,-1.096,-3.802,-0.595,0.534,1315219039
0.295,-0.102,-1.098,-4.153,-0.977,0.534,1315223050
0.299,-0.103,-1.090,-3.924,-1.053,0.305,1315227062
0.291,-0.103,-1.086,-3.756,-0.656,0.275,1315231073
0.298,-0.106,-1.097,-3.740,-0.901,0.107,1315235085
0.297,-0.105,-1.091,-3.985,-0.748,-0.031,1315239096
0.296,-0.101,-1.079,-4.412,-1.160,-0.061,1315243107
0.295,-0.099,-1.081,-4.656,-1.084,-0.092,1315247118
0.288,-0.096,-1.085,-4.458,-0.763,-0.198,1315251129
0.292,-0.100,-1.084,-4.168,-0.641,-0.305,1315255140
0.286,-0.097,-1.084,-3.695,-0.748,-0.504,1315259152
0.290,-0.098,-1.078,-3.557,-0.412,-0.504,1315263163
0.286,-0.091,-1.078,-3.679,-0.275,-0.641,1315267175
0.285,-0.095,-1.081,-3.664,-0.153,-0.595,1315271186
0.289,-0.098,-1.082,-3.664,-0.168,-0.412,1315275196
0.288,-0.092,-1.090,-3.328,0.061,-0.305,1315279207
0.296,-0.102,-1.091,-2.779,0.122,-0.076,1315283218
0.295,-0.095,-1.085,-2.229,0.290,0.275,1315287229
0.293,-0.102,-1.090,-1.802,0.137,0.595,1315291240
0.288,-0.100,-1.084,-2.076,0.351,0.565,1315295251
0.293,-0.103,-1.085,-2.366,0.244,0.611,1315299262
0.291,-0.109,-1.090,-2.519,0.321,0.656,1315303273
0.297,-0.101,-1.085,-2.412,0.031,0.809,1315307284
0.294,-0.106,-1.095,-2.107,0.244,0.550,1315311295
0.302,-0.114,-1.090,-1.954,0.412,0.565,1315315306
0.298,-0.107,-1.090,-2.336,0.198,0.305,1315319317
0.295,-0.115,-1.094,-2.794,0.336,0.122,1315323328
0.305,-0.115,-1.095,-3.389,0.168,0.107,1315327339
0.298,-0.114,-1.089,-4.244,0.153,-0.061,1315331350
0.294,-0.117,-1.103,-4.733,0.198,-0.321,1315335362
0.302,-0.117,-1.093,-4.855,0.519,-0.534,1315339373
0.300,-0.111,-1.090,-4.931,0.687,-0.763,1315343385
