acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.215,0.155,-1.067,-7.221,0.244,-0.931,0
0.215,0.167,-1.068,-6.931,0.290,-0.687,4046
0.209,0.162,-1.075,-6.443,0.061,-0.580,8058
0.222,0.161,-1.077,-5.969,-0.137,-0.275,12068
0.217,0.166,-1.075,-5.740,-0.565,0.046,16079
0.214,0.167,-1.079,-5.389,-0.901,0.092,20089
0.220,0.165,-1.079,-5.389,-1.206,0.382,24099
0.216,0.167,-1.089,-5.389,-1.359,0.458,28110
0.208,0.161,-1.084,-5.389,-1.603,0.718,32120
0.215,0.160,-1.082,-5.267,-1.893,0.443,36130
0.210,0.159,-1.095,-5.267,-1.863,0.504,40140
0.204,0.168,-1.077,-5.221,-2.107,0.687,44151
0.212,0.168,-1.082,-5.282,-2.061,0.519,48162
0.204,0.169,-1.083,-5.405,-1.557,0.489,52172
0.205,0.164,-1.084,-5.710,-1.374,0.458,56182
0.212,0.167,-1.085,-5.985,-1.435,0.458,60192
0.216,0.167,-1.093,-5.573,-1.069,0.290,64202
0.214,0.171,-1.076,-5.374,-1.053,0.260,68214
0.213,0.162,-1.092,-5.252,-0.901,0.305,72224
0.211,0.164,-1.085,-5.267,-0.763,0.290,76234
0.216,0.172,-1.080,-5.145,-1.115,0.275,80244
0.208,0.174,-1.089,-5.206,-0.901,0.321,84254
0.205,0.164,-1.094,-5.160,-0.473,0.168,88264
0.211,0.172,-1.088,-4.748,-0.687,0.427,92274
0.201,0.165,-1.091,-4.550,-0.290,0.290,96285
0.209,0.170,-1.103,-4.458,0.015,0.214,100295
0.204,0.170,-1.094,-4.534,0.489,0.092,104305
0.202,0.172,-1.091,-4.427,0.611,0.015,108315
0.203,0.169,-1.091,-4.595,0.748,-0.015,112325
0.211,0.172,-1.089,-4.687,1.160,-0.046,116335
0.208,0.171,-1.091,-4.382,1.206,0.015,120345
0.202,0.166,-1.095,-4.473,1.679,-0.107,124355
0.213,0.162,-1.096,-4.198,1.634,0.046,128362
0.213,0.168,-1.087,-4.183,1.634,0.122,132372
0.207,0.169,-1.091,-3.985,1.771,-0.015,136382
0.206,0.170,-1.089,-4.382,1.725,0.031,140392
0.205,0.171,-1.094,-4.275,1.573,0.198,144403
0.210,0.166,-1.095,-4.290,1.298,0.382,148412
0.213,0.160,-1.089,-4.092,1.405,0.321,152422
0.220,0.160,-1.097,-4.183,1.008,0.443,156432
0.209,0.166,-1.094,-4.031,0.794,0.504,160442
0.213,0.165,-1.099,-3.893,0.275,0.595,164452
0.218,0.164,-1.093,-4.214,0.550,0.702,168462
0.220,0.166,-1.100,-4.290,0.137,0.656,172472
0.217,0.156,-1.107,-4.183,-0.168,0.901,176483
0.212,0.158,-1.101,-4.046,-0.443,0.611,180493
0.217,0.154,-1.101,-3.908,-0.382,0.672,184503
0.210,0.153,-1.098,-3.863,-0.779,0.626,188513
0.208,0.157,-1.095,-4.153,-1.008,0.382,192523
0.211,0.156,-1.100,-4.565,-0.626,0.275,196533
0.203,0.161,-1.099,-4.351,-0.305,0.092,200543
0.206,0.155,-1.093,-4.351,0.107,0.260,204553
0.198,0.155,-1.091,-4.305,0.397,-0.382,208563
