acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.272,-0.096,-1.106,-5.511,1.802,-0.687,0
0.278,-0.095,-1.093,-5.267,2.137,-0.962,4049
0.275,-0.090,-1.089,-4.962,2.076,-0.885,8061
0.276,-0.094,-1.086,-4.855,2.443,-0.901,12072
0.276,-0.091,-1.088,-4.992,2.916,-0.901,16082
0.274,-0.098,-1.082,-5.298,2.763,-1.084,20092
0.276,-0.094,-1.088,-5.588,3.038,-0.962,24102
0.278,-0.091,-1.084,-5.603,2.916,-0.947,28107
0.279,-0.092,-1.078,-5.710,2.702,-0.779,32118
0.280,-0.087,-1.089,-5.344,2.550,-0.733,36128
0.281,-0.085,-1.090,-5.313,2.565,-0.336,40138
0.277,-0.086,-1.084,-5.298,2.351,-0.305,44149
0.276,-0.088,-1.087,-5.405,2.076,-0.214,48158
0.280,-0.093,-1.091,-5.679,1.603,-0.076,52168
0.277,-0.081,-1.089,-5.756,1.786,-0.183,56178
0.278,-0.093,-1.089,-5.221,0.992,0.092,60188
0.281,-0.085,-1.080,-5.130,1.023,0.198,64198
0.275,-0.095,-1.090,-4.702,0.916,0.321,68208
0.281,-0.092,-1.089,-4.641,0.779,0.550,72219
0.281,-0.091,-1.085,-5.023,0.504,0.275,76229
0.274,-0.089,-1.087,-5.176,0.718,0.366,80240
0.271,-0.096,-1.075,-5.237,0.809,0.321,84250
0.280,-0.094,-1.089,-5.145,1.023,0.092,88260
0.281,-0.091,-1.085,-4.931,1.053,0.092,92270
0.275,-0.100,-1.089,-4.580,1.313,0.031,96280
0.278,-0.096,-1.091,-4.672,1.588,0.092,100290
0.285,-0.100,-1.104,-5.038,1.359,0.107,104300
0.278,-0.101,-1.087,-5.420,1.710,0.015,108310
0.279,-0.095,-1.088,-5.618,1.786,0.260,112320
0.290,-0.098,-1.086,-5.542,1.527,0.183,116330
0.283,-0.093,-1.090,-5.176,1.527,0.290,120341
0.289,-0.089,-1.077,-5.069,1.420,0.076,124351
0.278,-0.093,-1.100,-4.977,1.282,0.122,128358
0.280,-0.091,-1.094,-5.176,1.618,0.275,132368
0.284,-0.094,-1.090,-5.282,1.511,0.412,136378
0.285,-0.092,-1.098,-5.527,1.634,0.443,140388
0.284,-0.097,-1.083,-5.313,1.573,0.595,144398
0.280,-0.095,-1.095,-4.916,1.344,0.534,148408
0.277,-0.090,-1.094,-4.443,1.542,0.534,152419
0.274,-0.097,-1.100,-4.595,1.618,0.611,156429
0.282,-0.098,-1.088,-4.519,1.313,0.702,160439
0.277,-0.099,-1.090,-4.947,1.374,0.626,164449
0.284,-0.100,-1.088,-5.298,1.634,0.824,168459
0.285,-0.100,-1.086,-5.115,1.328,0.702,172469
0.285,-0.101,-1.087,-4.885,1.527,0.870,176479
0.286,-0.102,-1.091,-4.626,1.511,0.885,180489
0.291,-0.100,-1.092,-4.687,1.344,0.748,184499
0.293,-0.095,-1.094,-4.947,1.328,0.626,188509
0.284,-0.095,-1.094,-5.145,1.099,0.565,192519
0.290,-0.091,-1.088,-5.679,1.099,0.489,196530
0.287,-0.090,-1.088,-5.588,0.901,0.534,200540
0.286,-0.099,-1.096,-5.160,0.901,0.366,204550
0.288,-0.089,-1.094,-5.084,0.809,0.427,208560
0.287,-0.088,-1.076,-4.962,0.977,0.244,212570
0.285,-0.090,-1.082,-5.511,0.794,0.183,216580
0.280,-0.088,-1.085,-5.695,0.931,0.122,220590
0.291,-0.085,-1.085,-5.817,0.947,-0.031,224600
0.277,-0.090,-1.092,-5.389,1.023,0.153,228611
0.281,-0.081,-1.087,-5.252,1.130,-0.107,232622
0.280,-0.086,-1.078,-4.641,1.099,0.061,236632
0.281,-0.083,-1.083,-4.412,1.176,0.000,240643
0.278,-0.081,-1.093,-4.382,1.740,0.336,244653
