acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.203,-0.088,-1.108,-2.412,1.573,1.649,0
0.206,-0.082,-1.109,-2.550,1.939,1.588,4049
0.207,-0.082,-1.112,-2.687,2.382,1.420,8061
0.204,-0.080,-1.118,-2.870,3.008,0.763,12071
0.206,-0.076,-1.118,-3.084,3.282,0.809,16081
0.206,-0.077,-1.120,-3.069,3.374,0.412,20091
0.211,-0.084,-1.116,-3.038,4.137,0.076,24101
0.213,-0.078,-1.118,-3.008,4.214,-0.122,28112
0.210,-0.081,-1.119,-3.237,4.092,0.046,32122
0.214,-0.087,-1.123,-3.710,4.092,0.076,36133
0.217,-0.094,-1.121,-4.015,3.802,0.122,40143
0.220,-0.086,-1.124,-4.489,3.817,0.031,44153
0.219,-0.086,-1.124,-4.870,3.298,-0.061,48164
0.220,-0.081,-1.130,-4.977,3.389,-0.015,52174
0.214,-0.086,-1.129,-4.718,3.084,0.153,56185
0.216,-0.078,-1.122,-5.038,2.962,0.183,60195
0.223,-0.086,-1.119,-5.145,2.824,0.321,64205
0.223,-0.078,-1.117,-5.420,2.489,0.595,68216
0.226,-0.086,-1.123,-5.374,2.321,0.489,72226
0.219,-0.080,-1.122,-5.435,2.198,0.519,76236
0.216,-0.076,-1.128,-4.870,2.336,0.794,80246
0.213,-0.072,-1.137,-4.595,2.061,0.656,84256
0.209,-0.079,-1.117,-4.458,2.107,0.611,88267
0.217,-0.079,-1.128,-4.580,1.878,0.550,92277
0.220,-0.086,-1.120,-4.779,1.954,0.504,96287
0.216,-0.079,-1.113,-5.328,2.137,0.214,100297
0.223,-0.093,-1.123,-5.420,2.031,0.214,104307
0.220,-0.083,-1.129,-5.771,1.847,0.198,108318
0.224,-0.081,-1.130,-6.305,1.725,-0.336,112328
0.221,-0.091,-1.119,-6.947,1.481,-0.382,116339
0.214,-0.086,-1.115,-7.450,1.191,-0.397,120349
0.225,-0.091,-1.126,-8.198,1.176,-0.473,124359
0.221,-0.089,-1.128,-8.611,0.855,-0.565,128365
0.216,-0.093,-1.128,-9.145,1.023,-0.855,132375
0.217,-0.093,-1.133,-9.466,0.580,-0.931,136385
0.219,-0.092,-1.133,-9.573,0.809,-0.733,140396
0.215,-0.084,-1.112,-9.786,0.565,-0.595,144406
0.213,-0.083,-1.125,-9.924,0.580,-0.977,148415
0.204,-0.083,-1.125,-9.863,0.641,-0.656,152425
0.208,-0.076,-1.123,-10.046,0.779,-0.870,156435
0.199,-0.081,-1.121,-9.832,0.595,-0.809,160445
0.212,-0.075,-1.127,-9.740,0.901,-1.008,164455
0.201,-0.074,-1.123,-9.267,1.053,-0.977,168465
0.202,-0.076,-1.127,-8.885,1.160,-0.947,172475
0.200,-0.073,-1.123,-8.763,1.145,-0.931,176486
0.211,-0.072,-1.119,-8.931,1.130,-0.855,180496
0.208,-0.073,-1.112,-8.748,1.237,-0.992,184506
0.207,-0.067,-1.116,-8.366,1.221,-0.641,188516
0.202,-0.066,-1.121,-8.244,1.008,-0.611,192526
0.213,-0.066,-1.112,-8.076,0.931,-0.336,196536
0.209,-0.067,-1.109,-8.015,1.084,-0.336,200546
0.210,-0.071,-1.112,-8.122,1.298,-0.122,204556
0.210,-0.068,-1.101,-7.939,1.710,-0.122,208566
0.217,-0.070,-1.105,-8.031,1.420,0.168,212576
0.210,-0.067,-1.108,-8.061,1.573,0.000,216586
0.214,-0.072,-1.109,-8.092,1.771,-0.214,220597
0.213,-0.070,-1.111,-8.168,2.153,-0.153,224607
0.220,-0.072,-1.105,-8.137,2.321,0.046,228617
0.211,-0.074,-1.104,-8.290,2.366,-0.519,232628
0.215,-0.071,-1.096,-8.504,2.229,-0.595,236638
0.223,-0.066,-1.099,-8.656,2.351,-0.794,240649
0.223,-0.072,-1.095,-8.580,2.366,-1.176,244659
0.214,-0.075,-1.096,-8.595,2.260,-1.328,248669
0.214,-0.066,-1.094,-8.366,2.305,-1.817,252688
0.222,-0.071,-1.092,-8.443,2.321,-1.817,256698
0.221,-0.075,-1.096,-8.550,1.969,-1.908,260708
0.221,-0.070,-1.094,-8.794,1.664,-1.817,264719
0.218,-0.070,-1.089,-8.672,1.603,-1.939,268729
0.224,-0.068,-1.101,-8.443,1.450,-1.725,272739
0.226,-0.061,-1.085,-8.290,0.931,-1.695,276749
0.214,-0.063,-1.094,-8.198,0.779,-1.588,280759
0.224,-0.062,-1.088,-7.374,0.595,-1.313,284770
0.225,-0.059,-1.092,-7.206,0.443,-0.992,288781
0.212,-0.064,-1.090,-6.824,0.260,-0.733,292791
0.219,-0.059,-1.097,-6.595,0.076,-0.580,296801
0.217,-0.045,-1.087,-6.336,0.275,-0.519,300811
0.211,-0.051,-1.093,-5.893,0.397,-0.626,304821
0.206,-0.051,-1.082,-5.588,0.672,-0.412,308831
0.203,-0.054,-1.085,-5.145,0.427,-0.504,312841
0.204,-0.047,-1.089,-4.916,0.962,-0.550,316852
0.201,-0.055,-1.089,-4.901,1.237,-0.779,320862
0.210,-0.059,-1.091,-4.718,1.481,-0.885,324872
0.205,-0.056,-1.089,-4.458,1.725,-0.992,328883
0.203,-0.058,-1.083,-4.748,2.214,-0.702,332894
0.206,-0.068,-1.097,-4.824,2.046,-0.626,336904
0.207,-0.063,-1.092,-4.992,1.832,-0.641,340914
0.213,-0.065,-1.108,-5.221,1.832,-0.702,344924
0.219,-0.064,-1.084,-5.588,2.046,-0.672,348934
