acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.277,-0.127,-1.082,-6.290,1.481,0.290,0
0.287,-0.126,-1.086,-6.412,1.634,-0.092,4047
0.285,-0.111,-1.080,-6.305,1.527,-0.305,8059
0.280,-0.120,-1.084,-6.153,1.053,-0.733,12069
0.286,-0.122,-1.082,-5.740,1.130,-0.626,16080
0.285,-0.120,-1.081,-5.313,0.748,-0.947,20090
0.293,-0.125,-1.086,-5.069,0.855,-1.328,24100
0.290,-0.125,-1.088,-5.069,0.489,-1.023,28111
0.289,-0.119,-1.084,-5.618,1.053,-1.405,32121
0.278,-0.123,-1.079,-5.740,2.672,-1.206,36131
0.274,-0.121,-1.093,-5.649,1.756,-0.809,40141
0.275,-0.125,-1.094,-5.618,0.489,-0.977,44152
0.291,-0.132,-1.094,-5.435,0.916,-0.840,48163
0.293,-0.128,-1.089,-5.450,1.588,-0.382,52173
0.292,-0.124,-1.089,-5.282,1.786,0.061,56183
0.287,-0.123,-1.094,-5.573,2.397,0.214,60193
0.286,-0.119,-1.088,-5.893,2.901,0.076,64203
0.285,-0.119,-1.081,-5.832,2.122,-0.779,68215
0.288,-0.117,-1.093,-5.618,1.328,-1.420,72225
0.292,-0.127,-1.086,-5.420,0.947,-1.496,76235
0.290,-0.122,-1.087,-5.069,1.481,-1.649,80245
0.288,-0.121,-1.084,-5.328,1.053,-1.740,84255
0.280,-0.122,-1.082,-5.771,1.282,-1.557,88265
0.283,-0.118,-1.076,-5.924,1.252,-1.435,92275
0.283,-0.118,-1.083,-5.786,1.420,-2.260,96286
0.278,-0.123,-1.076,-5.603,1.115,-2.931,100296
0.274,-0.121,-1.071,-5.466,0.580,-2.992,104306
0.274,-0.122,-1.077,-5.496,0.382,-2.641,108316
0.277,-0.121,-1.086,-5.634,0.824,-2.137,112326
0.280,-0.124,-1.088,-5.603,1.374,-1.893,116336
0.281,-0.123,-1.075,-5.969,1.237,-1.664,120346
0.281,-0.122,-1.092,-6.229,0.977,-1.023,124356
0.289,-0.120,-1.085,-6.107,0.687,-0.794,128363
0.288,-0.115,-1.076,-5.679,0.504,-1.053,132373
0.290,-0.114,-1.087,-5.435,-0.168,-1.267,136383
0.284,-0.110,-1.084,-5.420,-0.321,-1.160,140393
0.283,-0.110,-1.088,-5.511,-0.763,-0.962,144404
0.270,-0.110,-1.088,-5.420,0.015,-0.595,148413
0.273,-0.111,-1.089,-5.252,-0.137,-0.504,152423
0.271,-0.114,-1.084,-4.824,-0.214,-0.580,156433
0.274,-0.114,-1.089,-4.000,-0.198,-0.885,160443
0.276,-0.111,-1.082,-3.786,-0.229,-0.901,164453
0.269,-0.112,-1.080,-3.573,0.229,-0.565,168463
0.273,-0.109,-1.089,-3.466,0.947,-0.351,172473
0.273,-0.115,-1.088,-3.603,1.221,0.458,176484
0.273,-0.109,-1.090,-3.802,0.977,0.626,180494
0.282,-0.117,-1.097,-3.863,1.176,0.214,184504
0.285,-0.110,-1.088,-3.557,1.298,-0.626,188514
0.281,-0.118,-1.092,-3.099,0.870,-0.534,192524
0.282,-0.122,-1.094,-3.634,0.397,-0.458,196534
0.275,-0.130,-1.103,-4.275,0.656,-0.565,200544
0.283,-0.130,-1.094,-4.718,0.901,-0.305,204554
0.283,-0.130,-1.094,-5.221,0.534,-0.611,208564
0.288,-0.126,-1.105,-5.634,0.183,-0.489,212574
0.279,-0.129,-1.093,-5.878,-0.275,-0.656,216584
0.282,-0.126,-1.094,-6.168,-0.321,-0.931,220595
0.283,-0.125,-1.102,-6.412,-0.595,-0.840,224605
0.276,-0.123,-1.095,-7.084,0.244,-1.115,228615
0.277,-0.126,-1.095,-7.542,0.321,-1.069,232625
