acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.171,0.171,-1.106,-4.382,2.168,-0.458,0
0.168,0.163,-1.106,-4.122,2.397,-0.321,4049
0.167,0.167,-1.101,-3.695,2.275,-0.595,8061
0.165,0.169,-1.099,-3.832,2.458,-0.565,12071
0.175,0.166,-1.100,-3.939,2.733,-0.550,16081
0.171,0.165,-1.102,-4.031,2.382,-0.779,20091
0.170,0.166,-1.099,-4.000,2.672,-0.595,24101
0.169,0.155,-1.104,-4.244,2.260,-0.733,28107
0.170,0.156,-1.109,-4.351,2.397,-0.672,32118
0.168,0.163,-1.112,-4.366,2.427,-0.763,36128
0.175,0.164,-1.104,-4.702,2.473,-0.641,40138
0.174,0.162,-1.106,-4.733,2.046,-0.748,44148
0.167,0.161,-1.117,-4.870,2.153,-0.779,48158
0.173,0.164,-1.103,-5.038,2.000,-1.160,52168
0.174,0.162,-1.103,-4.779,1.725,-1.038,56178
0.168,0.161,-1.104,-4.656,1.618,-0.733,60188
0.166,0.161,-1.098,-4.489,1.405,-0.840,64198
0.168,0.159,-1.109,-4.641,1.527,-0.611,68208
0.170,0.159,-1.100,-4.672,1.405,-0.809,72219
0.169,0.164,-1.107,-4.718,1.511,-0.748,76229
0.158,0.159,-1.108,-4.473,1.374,-0.458,80239
0.159,0.161,-1.107,-4.580,1.252,-0.412,84250
0.156,0.168,-1.097,-4.565,1.695,-0.534,88260
0.161,0.164,-1.110,-4.565,1.481,-0.336,92270
0.164,0.165,-1.110,-4.809,1.679,-0.412,96280
0.160,0.165,-1.108,-4.809,1.679,-0.489,100290
0.159,0.161,-1.112,-5.145,1.786,-0.290,104300
0.166,0.156,-1.110,-5.282,1.740,-0.107,108311
0.161,0.161,-1.107,-5.176,1.969,-0.183,112321
0.162,0.159,-1.113,-5.145,1.649,-0.076,116331
0.161,0.166,-1.113,-5.099,1.969,0.031,120341
0.165,0.162,-1.101,-5.237,1.954,0.015,124352
0.162,0.164,-1.107,-5.527,2.107,0.015,128359
0.164,0.162,-1.109,-5.649,1.893,-0.092,132369
0.169,0.161,-1.121,-5.802,2.107,-0.153,136379
0.160,0.166,-1.103,-5.954,2.305,-0.107,140389
0.166,0.159,-1.104,-5.924,2.336,-0.153,144399
0.165,0.160,-1.097,-5.679,2.122,-0.260,148409
0.162,0.162,-1.097,-5.786,2.626,-0.351,152419
0.164,0.160,-1.101,-6.244,2.672,-0.046,156429
0.163,0.168,-1.110,-6.489,2.916,0.107,160439
0.167,0.163,-1.098,-6.550,2.779,0.137,164449
0.167,0.164,-1.098,-6.229,2.626,-0.061,168459
0.170,0.168,-1.100,-5.893,2.763,0.046,172470
0.176,0.167,-1.096,-5.771,2.412,0.000,176480
0.182,0.166,-1.095,-5.328,2.198,0.046,180491
0.171,0.168,-1.092,-5.344,1.832,0.229,184501
0.171,0.165,-1.098,-5.405,1.649,-0.092,188512
0.170,0.165,-1.099,-5.313,1.695,0.137,192522
0.180,0.162,-1.096,-5.374,1.618,0.244,196533
0.175,0.163,-1.092,-5.176,1.573,0.107,200543
0.168,0.155,-1.096,-5.053,1.756,0.244,204553
0.167,0.164,-1.092,-5.237,1.771,0.153,208563
0.171,0.159,-1.098,-5.282,1.710,-0.122,212574
0.180,0.163,-1.100,-5.557,1.466,0.183,216584
0.173,0.161,-1.096,-5.740,1.374,-0.076,220594
0.169,0.156,-1.091,-5.496,1.008,0.092,224604
0.174,0.161,-1.096,-5.145,1.099,-0.092,228614
0.178,0.167,-1.093,-5.145,0.824,-0.229,232624
0.174,0.167,-1.086,-4.809,0.351,-0.198,236634
0.176,0.166,-1.094,-4.931,0.580,-0.015,240644
0.174,0.157,-1.087,-5.069,0.687,-0.214,244654
0.169,0.166,-1.096,-4.977,0.580,-0.061,248664
0.171,0.162,-1.095,-4.580,0.962,-0.092,252683
0.169,0.163,-1.080,-4.458,0.992,-0.031,256693
0.168,0.155,-1.081,-4.260,0.992,-0.076,260703
0.172,0.163,-1.087,-4.275,1.359,-0.168,264714
0.171,0.160,-1.097,-4.382,1.145,-0.198,268726
0.171,0.161,-1.093,-4.840,1.420,-0.229,272736
0.176,0.156,-1.096,-4.641,1.405,-0.397,276746
0.177,0.157,-1.089,-4.763,1.298,-0.427,280756
0.180,0.157,-1.093,-4.427,1.374,-0.626,284766
0.177,0.156,-1.094,-4.305,1.145,-0.565,288776
0.174,0.156,-1.091,-4.611,1.069,-0.611,292787
0.171,0.162,-1.098,-4.733,0.916,-0.550,296797
0.174,0.165,-1.085,-4.733,1.267,-0.580,300807
0.166,0.152,-1.095,-4.718,1.115,-0.489,304817
0.166,0.158,-1.094,-4.626,1.038,-0.580,308827
0.167,0.161,-1.098,-4.458,1.130,-0.702,312837
0.168,0.164,-1.103,-4.321,1.313,-0.519,316847
0.166,0.164,-1.099,-4.229,1.389,-0.412,320858
0.171,0.165,-1.101,-4.489,1.389,-0.489,324868
0.172,0.167,-1.093,-4.504,1.618,-0.443,328878
0.166,0.171,-1.089,-5.084,1.893,-0.427,332888
0.160,0.161,-1.100,-4.840,1.588,-0.168,336898
0.169,0.166,-1.092,-4.687,1.725,-0.168,340908
0.171,0.167,-1.088,-4.611,1.634,-0.382,344918
0.171,0.169,-1.095,-4.550,1.527,-0.183,348928
0.170,0.167,-1.093,-4.901,1.588,-0.198,352948
0.165,0.167,-1.092,-4.718,1.099,-0.092,356958
0.174,0.173,-1.094,-4.870,0.916,-0.031,360968
0.170,0.168,-1.107,-4.855,0.840,-0.183,364978
0.164,0.164,-1.104,-4.672,0.901,-0.153,368988
0.165,0.162,-1.098,-4.336,1.115,-0.046,373008
0.167,0.167,-1.104,-4.626,1.038,-0.046,377018
0.166,0.170,-1.096,-4.336,1.176,0.061,381029
0.162,0.155,-1.101,-4.748,1.115,0.092,385039
0.162,0.171,-1.108,-4.763,1.298,0.000,389049
0.164,0.164,-1.106,-4.702,1.527,0.092,393068
0.165,0.166,-1.114,-4.519,1.618,-0.076,397078
0.167,0.169,-1.116,-4.458,1.740,-0.153,401088
0.170,0.163,-1.102,-4.580,1.878,-0.168,405099
0.166,0.164,-1.106,-4.519,2.290,0.336,409109
0.169,0.164,-1.104,-4.733,2.458,-0.168,413118
0.178,0.160,-1.106,-5.084,2.672,-0.092,417128
0.173,0.165,-1.095,-5.206,2.656,-0.183,421138
0.167,0.163,-1.096,-5.237,2.595,-0.107,425148
0.169,0.160,-1.109,-5.298,2.427,-0.275,429158
0.173,0.166,-1.100,-5.191,2.382,-0.305,433168
0.174,0.165,-1.104,-5.511,2.229,-0.382,437178
0.178,0.164,-1.098,-5.634,2.092,-0.153,441188
0.176,0.163,-1.106,-6.000,1.695,-0.305,445198
0.177,0.163,-1.100,-6.336,1.908,-0.305,449208
0.173,0.160,-1.097,-6.397,1.740,-0.122,453227
0.170,0.163,-1.091,-6.031,1.542,0.000,457237
0.168,0.163,-1.096,-6.031,1.221,0.183,461247
