acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.217,-0.038,-1.106,-5.252,0.870,-1.176,0
0.214,-0.031,-1.099,-5.496,0.595,-1.527,4047
0.214,-0.032,-1.109,-5.588,0.794,-1.557,8059
0.208,-0.031,-1.110,-5.863,0.931,-1.481,12069
0.208,-0.035,-1.106,-5.695,1.084,-1.298,16079
0.208,-0.032,-1.104,-5.359,1.023,-1.359,20089
0.200,-0.039,-1.108,-5.053,0.977,-1.511,24099
0.202,-0.027,-1.107,-4.855,1.206,-1.603,28110
0.208,-0.038,-1.108,-4.565,1.359,-1.695,32120
0.202,-0.029,-1.105,-4.672,1.298,-1.557,36131
0.203,-0.035,-1.105,-4.748,1.237,-1.298,40141
0.203,-0.038,-1.106,-4.748,1.359,-1.053,44151
0.203,-0.031,-1.101,-4.748,1.496,-1.252,48162
0.198,-0.044,-1.103,-4.580,1.282,-1.344,52172
0.203,-0.042,-1.102,-4.229,1.328,-1.282,56183
0.206,-0.038,-1.102,-4.305,1.191,-1.191,60193
0.206,-0.037,-1.104,-4.641,1.282,-1.115,64203
0.204,-0.040,-1.100,-4.885,1.267,-0.885,68214
0.200,-0.044,-1.103,-4.977,1.191,-0.794,72224
0.202,-0.041,-1.109,-4.870,1.145,-1.069,76234
0.195,-0.043,-1.109,-4.611,0.855,-1.023,80244
0.200,-0.031,-1.109,-4.382,1.267,-0.763,84254
0.197,-0.043,-1.107,-4.214,1.298,-0.916,88265
0.194,-0.030,-1.107,-4.550,1.206,-0.931,92275
0.187,-0.035,-1.105,-4.641,1.542,-1.099,96285
0.195,-0.042,-1.101,-4.870,1.573,-1.069,100295
0.198,-0.037,-1.101,-4.901,1.985,-1.038,104305
0.197,-0.040,-1.109,-4.611,1.985,-1.084,108316
0.198,-0.037,-1.109,-4.336,1.878,-0.824,112326
0.203,-0.038,-1.112,-4.412,2.015,-0.947,116337
0.203,-0.036,-1.102,-4.366,1.847,-0.733,120347
0.201,-0.038,-1.111,-4.718,1.496,-0.489,124357
0.199,-0.030,-1.104,-5.084,1.405,-0.382,128363
0.198,-0.029,-1.096,-5.084,1.298,-0.290,132373
0.201,-0.035,-1.096,-4.840,1.267,-0.244,136383
0.199,-0.031,-1.091,-4.534,0.992,-0.321,140394
0.206,-0.027,-1.101,-4.275,1.282,-0.382,144404
0.204,-0.031,-1.106,-4.137,1.038,-0.534,148413
0.202,-0.036,-1.103,-4.183,1.115,-0.275,152423
0.196,-0.031,-1.099,-4.275,1.267,-0.290,156433
0.206,-0.026,-1.097,-4.015,1.145,-0.137,160443
0.205,-0.029,-1.096,-3.557,1.298,-0.015,164453
