acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.225,-0.082,-1.110,-6.137,2.351,1.237,0
0.229,-0.084,-1.105,-5.832,2.229,0.962,4050
0.230,-0.084,-1.101,-5.359,2.275,0.718,8062
0.232,-0.094,-1.105,-5.405,2.305,0.687,12072
0.231,-0.086,-1.099,-5.450,2.046,0.519,16083
0.238,-0.080,-1.101,-5.817,1.954,0.427,20093
0.226,-0.089,-1.094,-5.969,1.573,0.519,24103
0.227,-0.083,-1.103,-5.771,1.328,0.550,28113
0.229,-0.092,-1.091,-5.405,1.038,0.718,32123
0.236,-0.087,-1.090,-5.252,1.023,0.656,36133
0.231,-0.086,-1.091,-5.160,0.702,0.412,40143
0.226,-0.086,-1.101,-5.466,0.794,0.336,44153
0.225,-0.083,-1.093,-5.679,0.809,0.137,48164
0.227,-0.079,-1.105,-5.786,0.443,-0.305,52174
0.222,-0.083,-1.102,-5.542,0.870,-0.382,56184
0.219,-0.085,-1.100,-5.374,0.916,-0.550,60195
0.228,-0.074,-1.101,-5.053,1.420,-0.931,64205
0.218,-0.082,-1.101,-5.191,1.466,-0.809,68216
0.217,-0.080,-1.098,-5.481,2.183,-0.977,72226
0.222,-0.077,-1.105,-5.603,2.366,-1.008,76236
0.223,-0.090,-1.108,-5.481,2.916,-1.099,80246
0.228,-0.079,-1.110,-5.466,2.931,-1.237,84256
0.227,-0.088,-1.097,-5.313,3.252,-0.885,88267
0.223,-0.078,-1.098,-5.176,3.313,-0.824,92277
0.219,-0.084,-1.106,-5.176,3.298,-0.397,96287
0.218,-0.082,-1.104,-5.511,3.435,0.000,100297
0.217,-0.073,-1.102,-5.542,3.389,0.183,104307
0.219,-0.077,-1.095,-5.710,3.115,0.336,108318
0.227,-0.079,-1.106,-5.710,2.901,0.183,112328
0.220,-0.078,-1.096,-5.282,2.962,0.351,116339
0.231,-0.075,-1.099,-4.992,3.069,0.397,120349
0.229,-0.075,-1.092,-4.565,2.885,0.412,124359
0.233,-0.079,-1.093,-4.489,2.885,0.504,128365
0.224,-0.081,-1.097,-4.550,2.641,0.748,132375
0.220,-0.082,-1.090,-4.214,2.290,1.130,136385
0.238,-0.083,-1.105,-4.183,2.076,0.947,140396
0.239,-0.084,-1.099,-4.305,1.756,0.931,144406
0.232,-0.087,-1.091,-3.969,1.405,0.977,148415
0.241,-0.083,-1.098,-3.878,1.252,0.824,152425
0.240,-0.093,-1.113,-4.137,1.099,0.931,156435
0.243,-0.089,-1.105,-4.504,0.748,0.977,160445
0.243,-0.092,-1.101,-4.427,1.023,0.763,164455
0.230,-0.084,-1.101,-4.107,0.611,0.580,168465
0.230,-0.088,-1.101,-4.183,0.565,0.351,172475
0.225,-0.085,-1.105,-4.092,0.992,-0.061,176486
0.220,-0.082,-1.098,-4.137,1.359,-0.260,180496
0.226,-0.080,-1.101,-4.214,1.832,-0.595,184506
0.226,-0.090,-1.104,-4.519,2.122,-0.809,188516
0.228,-0.084,-1.099,-4.824,2.672,-1.023,192526
0.223,-0.086,-1.102,-4.565,3.115,-1.557,196536
0.229,-0.084,-1.112,-4.107,3.328,-1.237,200546
0.232,-0.087,-1.114,-4.031,3.313,-1.481,204556
0.236,-0.091,-1.114,-4.061,3.557,-1.374,208566
0.230,-0.089,-1.109,-4.366,3.389,-1.328,212576
0.236,-0.089,-1.112,-4.550,3.084,-1.359,216586
