acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.357,-0.248,-1.054,-4.275,2.550,-0.626,0
0.355,-0.253,-1.046,-4.107,2.168,-0.305,4053
0.360,-0.251,-1.052,-4.107,1.893,-0.626,8065
0.358,-0.249,-1.054,-4.489,1.786,-0.809,12075
0.365,-0.245,-1.046,-4.748,1.573,-1.145,16085
0.359,-0.245,-1.055,-5.053,1.313,-1.405,20095
0.366,-0.251,-1.052,-4.901,0.748,-1.511,24106
0.366,-0.247,-1.059,-5.145,0.626,-1.832,28115
0.366,-0.249,-1.052,-4.672,0.351,-1.832,32125
0.364,-0.245,-1.054,-4.443,0.244,-1.817,36135
0.369,-0.245,-1.035,-4.519,0.107,-2.305,40145
0.364,-0.247,-1.045,-4.702,-0.275,-2.489,44155
0.361,-0.249,-1.049,-4.840,-0.214,-2.366,48167
0.361,-0.250,-1.051,-4.947,-0.290,-2.748,52177
0.352,-0.250,-1.054,-4.977,-0.107,-2.733,56187
0.354,-0.254,-1.042,-4.626,0.214,-2.489,60197
0.356,-0.250,-1.050,-4.427,0.534,-2.916,64207
0.351,-0.247,-1.047,-4.443,0.611,-2.733,68219
0.352,-0.251,-1.052,-4.733,0.687,-2.748,72229
0.350,-0.248,-1.049,-4.931,0.840,-2.733,76239
0.352,-0.242,-1.057,-5.069,0.779,-2.595,80249
0.342,-0.249,-1.050,-5.160,0.580,-2.427,84259
0.350,-0.247,-1.052,-4.977,0.534,-2.137,88269
0.360,-0.256,-1.049,-5.023,0.809,-1.908,92279
0.353,-0.248,-1.049,-4.916,0.595,-1.954,96290
0.353,-0.243,-1.052,-4.977,0.855,-1.634,100300
0.347,-0.244,-1.052,-5.481,0.962,-1.252,104310
0.353,-0.252,-1.043,-5.710,1.359,-1.359,108320
0.347,-0.245,-1.046,-5.679,1.191,-1.038,112330
0.345,-0.248,-1.052,-5.481,1.817,-0.992,116340
0.347,-0.246,-1.046,-5.374,1.695,-0.870,120350
0.342,-0.248,-1.047,-5.298,2.000,-0.626,124360
0.354,-0.245,-1.053,-5.557,2.229,-0.397,128367
0.348,-0.246,-1.050,-5.969,2.183,-0.260,132377
0.351,-0.251,-1.052,-6.122,2.534,-0.580,136387
0.349,-0.244,-1.054,-5.954,2.198,-0.397,140397
0.356,-0.246,-1.045,-5.771,2.260,-0.473,144408
0.350,-0.252,-1.046,-5.939,1.740,-0.534,148417
0.357,-0.248,-1.040,-5.893,1.389,-0.489,152427
0.356,-0.252,-1.045,-6.214,1.160,-0.443,156437
0.347,-0.250,-1.045,-6.534,0.947,-0.412,160447
0.355,-0.249,-1.033,-6.672,0.672,-0.366,164457
0.355,-0.250,-1.041,-6.748,0.489,-0.458,168467
0.349,-0.248,-1.036,-6.504,0.427,-0.305,172477
0.353,-0.248,-1.038,-6.183,0.611,-0.031,176488
0.347,-0.242,-1.042,-6.107,0.550,0.031,180498
0.352,-0.250,-1.035,-6.260,0.748,0.397,184508
0.346,-0.250,-1.038,-6.534,1.252,0.565,188518
0.349,-0.251,-1.031,-6.458,1.511,0.489,192528
0.349,-0.247,-1.043,-6.336,1.634,0.656,196538
0.349,-0.244,-1.042,-6.198,1.863,0.809,200548
0.350,-0.243,-1.044,-5.649,2.122,1.099,204558
0.356,-0.245,-1.041,-5.450,2.550,0.947,208568
0.359,-0.240,-1.042,-5.557,2.397,0.947,212578
0.360,-0.247,-1.040,-5.649,2.336,0.885,216588
0.366,-0.250,-1.039,-5.939,1.802,1.008,220599
0.366,-0.250,-1.044,-6.168,1.740,0.779,224609
0.361,-0.254,-1.041,-6.214,1.481,0.702,228619
0.367,-0.247,-1.036,-6.366,1.664,0.336,232629
0.364,-0.250,-1.049,-6.275,1.542,-0.229,236639
0.361,-0.240,-1.043,-6.733,1.389,-0.015,240649
0.361,-0.240,-1.055,-6.824,1.405,-0.382,244659
